seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,component_i_family,component_j_family,x_i,x_j,pair_interaction,absolute_pair_interaction,composition_weighted_pair_contribution,mean_abs_log_gamma,excess_gibbs_rt,evaluation_partition
4,stage2,state_85ea0409f156fc3bd7bf5c61,2c_bd376e0334cd0958f101,isothermal,2,aromatic/unsaturated hydrocarbon + sulfur-containing,sulfur-containing,aromatic/unsaturated hydrocarbon,0.84,0.16000000000000003,0.10495929419994354,0.10495929419994354,0.014106529140472415,0.033459410071372986,0.014106528833508492,test
4,stage2,state_862c7f01abbb0ab1316817ac,2c_46777e532a11b24ee585,isobaric,2,alcohol/polyol + alcohol/polyol,alcohol/polyol,alcohol/polyol,0.0156,0.9844,0.17191891372203827,0.17191891372203827,0.0026400968672204016,0.08384696394205093,0.002640096703544259,test
4,stage2,state_8aa43824a7c09eb7b2942c7e,2c_94ed5d0a73a3c26e5ef5,isobaric,2,alcohol/polyol + water,alcohol/polyol,water,0.656,0.344,1.4540270566940308,1.4540270566940308,0.32812156172180174,0.4263162612915039,0.3281216025352478,test
4,stage2,state_8c1677a543c3774354970262,2c_66efe142b432478577a5,isothermal,2,alcohol/polyol + aromatic/unsaturated hydrocarbon,alcohol/polyol,aromatic/unsaturated hydrocarbon,0.409,0.591,1.7370538711547852,1.7370538711547852,0.41987892468166343,0.4325984716415405,0.41987892985343933,test
4,stage2,state_8e3682c50ee90166a35e79ce,2c_b94de72ffbeb53d6294b,isobaric,2,aromatic/unsaturated hydrocarbon + sulfoxide/sulfone,aromatic/unsaturated hydrocarbon,sulfoxide/sulfone,0.0321,0.9679,0.5117967128753662,0.5117967128753662,0.015901314032385348,0.23931431770324707,0.015901312232017517,test
4,stage2,state_8ef483c18277b239f1f9832b,2c_66efe142b432478577a5,isothermal,2,alcohol/polyol + aromatic/unsaturated hydrocarbon,alcohol/polyol,aromatic/unsaturated hydrocarbon,0.092,0.908,2.0531859397888184,2.0531859397888184,0.17151494066619874,0.8125243186950684,0.17151494324207306,test
4,stage2,state_8f58f17cbef67eb8c4416357,2c_4cf4774918df9099eea7,isobaric,2,carboxylic acid/ester + carboxylic acid/ester,carboxylic acid/ester,carboxylic acid/ester,0.6101,0.3899,-0.25907859206199646,0.25907859206199646,-0.06162909473173767,0.06759682297706604,-0.06162909045815468,test
4,stage2,state_933103bbb39f3d8388a6381b,2c_94ed5d0a73a3c26e5ef5,full_state,2,alcohol/polyol + water,alcohol/polyol,water,0.7982,0.20179999999999998,1.4493160247802734,1.4493160247802734,0.23345112948768615,0.5256419777870178,0.23345114290714264,test
4,stage2,state_943c44510997ef702ba2b0b8,2c_94ed5d0a73a3c26e5ef5,isothermal,2,alcohol/polyol + water,alcohol/polyol,water,0.203,0.7969999999999999,2.075859546661377,2.075859546661377,0.3358553919138908,0.6079621315002441,0.3358553946018219,test
4,stage2,state_95220395f4db02b971d86e21,2c_4cf4774918df9099eea7,isobaric,2,carboxylic acid/ester + carboxylic acid/ester,carboxylic acid/ester,carboxylic acid/ester,1.0,0.0,0.39521974325180054,0.39521974325180054,0.0,0.19760987162590027,0.0,test
4,stage2,state_97979e09913c0ac27f1e9402,2c_26b73e2a52ff4a4f03f7,isothermal,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.133,0.867,0.7814852595329285,0.7814852595329285,0.09011384676200153,0.30078116059303284,0.09011384099721909,test
4,stage2,state_9cd3e4abf22bf898cbdfeac8,2c_9e26452c354cc6fec818,isobaric,2,alkane/cycloalkane + aromatic/unsaturated hydrocarbon,alkane/cycloalkane,aromatic/unsaturated hydrocarbon,0.819,0.18100000000000005,0.07457593083381653,0.07457593083381653,0.011055061410874131,0.0262429378926754,0.011055061593651772,test
4,stage2,state_9d12a84201683fba9a4de62c,2c_908dceb4b86ca8f62d00,isothermal,2,alkane/cycloalkane + halogenated,alkane/cycloalkane,halogenated,0.0553,0.9447,0.36910760402679443,0.36910760402679443,0.019282886229883434,0.1630224585533142,0.019282886758446693,test
4,stage2,state_9fb05722633299473d203efd,2c_bd376e0334cd0958f101,isothermal,2,aromatic/unsaturated hydrocarbon + sulfur-containing,sulfur-containing,aromatic/unsaturated hydrocarbon,0.497,0.503,0.07429277896881104,0.07429277896881104,0.01857252610719204,0.018628612160682678,0.018572527915239334,test
4,stage2,state_9fe0e23b6a2cfc87326de25d,2c_913ec9aa8f318623c900,isothermal,2,alkane/cycloalkane + nitrogen-containing,alkane/cycloalkane,nitrogen-containing,0.9123,0.0877,0.8764951825141907,0.8764951825141907,0.07012724887417494,0.3480542302131653,0.07012724876403809,test
4,stage2,state_a088e3fa0b425d55a37d3519,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,alkane/cycloalkane,sulfur-containing,0.6988,0.3012,0.2212064117193222,0.2212064117193222,0.04655920700145006,0.06707388162612915,0.04655921086668968,test
4,stage2,state_a5c836793dc0dd394c1ebe0d,2c_6a801f4f730e4962933a,isothermal,2,alkane/cycloalkane + nitrogen-containing,alkane/cycloalkane,nitrogen-containing,0.654,0.346,1.1128960847854614,1.1128960847854614,0.2518305776495933,0.2977788746356964,0.2518305480480194,test
4,stage2,state_a66b8141d5f633e3450ddf4f,2c_94ed5d0a73a3c26e5ef5,isobaric,2,alcohol/polyol + water,alcohol/polyol,water,0.0351,0.9649,2.538041114807129,2.538041114807129,0.0859583510958767,1.1287325620651245,0.08595835417509079,test
4,stage2,state_a6a51f7914f11525b0dfd262,2c_dc191206ee879c89c4e5,isothermal,2,alcohol/polyol + ether/carbonyl,ether/carbonyl,alcohol/polyol,1.0,0.0,0.6414899230003357,0.6414899230003357,0.0,0.32074496150016785,0.0,test
