stage,T_K,x_alcohol,x_ester,x_DMF,y_alcohol,y_ester,y_DMF
67,411.8041611758624,0.0633563416538197,0.07836258697822623,0.8582810713679541,0.18561311714305936,0.2180089441746963,0.5963779386822423
68,411.7949874381668,0.06364969502923293,0.0781518854389511,0.858198419531816,0.18643026497174794,0.2174225440925835,0.5961471909356689
69,411.7860951182121,0.06393472930531857,0.07794698307006692,0.8581182876246145,0.18722398577103802,0.21685245283684473,0.59592356139212
70,411.7774724316312,0.06421176589377864,0.07774766315963777,0.8580405709465836,0.1879951977372212,0.21629805228911478,0.595706749973662
71,411.7691082491721,0.06448110946551011,0.0775537199643962,0.8579651705700937,0.1887447705079969,0.2157587560959252,0.5954964733960739
72,411.7609920511045,0.06474304905905397,0.07736495799965333,0.8578919929412927,0.18947352842577136,0.21523400758152064,0.5952924639927074
73,411.7531138854158,0.06499785910059307,0.07718119138484837,0.8578209495145586,0.1901822535367738,0.2147232778265955,0.5950944686366257
74,411.7454643294309,0.06524580034370536,0.07700224323964683,0.8577519564166478,0.1908716883508514,0.2142260638975571,0.594902247751589
75,411.7380344545299,0.06548712073621679,0.0768279451260385,0.8576849341377447,0.19154253838413668,0.21374188721256113,0.5947155744033
76,411.7308157936769,0.06572205622073102,0.07665813653233977,0.8576198072469292,0.1921954745044686,0.2132702920319936,0.5945342334635396
77,411.7238003115003,0.06595083147475024,0.07649266439543777,0.857556504129812,0.19283113509738894,0.21281084406236825,0.5943580208402438
78,411.71698037668995,0.06617366059568545,0.07633138265795598,0.8574949567463586,0.19345012806865242,0.21236312916364902,0.5941867427676929
79,411.71034873650814,0.06639074773554336,0.07617415185736927,0.8574351004070874,0.1940530326976666,0.21192675215109744,0.5940202151512345
80,411.70389849322214,0.06660228768959128,0.07602083874437196,0.8573768735660368,0.19464040135473862,0.21150133568354185,0.5938582629617208
81,411.6976230822933,0.06680846644289007,0.07587131592806295,0.857320217629047,0.19521276109381255,0.2110865192307948,0.5937007196753932
82,411.6915162521721,0.0670094616782141,0.0757254615457552,0.8572650767760307,0.1957706151312331,0.2106819581136611,0.5935474267551079
83,411.68557204555736,0.06720544324853045,0.07558315895539641,0.8572113977960731,0.19631444421998762,0.21028732261051541,0.593398233169493
84,411.6797847820033,0.06739657361693195,0.07544429644880658,0.8571591299342615,0.19684470792811315,0.20990229712512265,0.5932529949467656
85,411.6741490417554,0.06758300826662776,0.07530876698406998,0.8571082247493023,0.19736184582898683,0.2095265794107206,0.5931115747602963
86,411.6686596507201,0.06776489608338174,0.07517646793559732,0.8570586359810209,0.19786627861065625,0.2091598798459853,0.5929738415433619
87,411.66331166647063,0.06794237971254985,0.07504730086048256,0.8570103194269676,0.19835840911057528,0.20880192075875503,0.5928396701306715
88,411.6581003652128,0.0681155958926908,0.07492117127991603,0.8569632328273932,0.19883862328164392,0.2084524357938829,0.5927089409244722
