stage,T_K,x_alcohol,x_ester,x_DMF,y_alcohol,y_ester,y_DMF
16,410.2210498405439,8.202802865313734e-05,0.15256912860279165,0.8473488433685552,0.00021320599039869633,0.4332135690126958,0.5665732249969054
17,410.22095017170744,0.00012420823851040595,0.15252911722615364,0.847346674535336,0.0003228370748475119,0.43310958557086293,0.5665675773542895
18,410.2208468940103,0.00016811878291662566,0.15248746006339092,0.8473444211536925,0.0004369632881044944,0.43300132752951015,0.5665617091823854
19,410.2207398975899,0.0002138315603900573,0.15244408835912843,0.8473420800804815,0.0005557712355304477,0.4328886165150917,0.5665556122493779
20,410.2206290712611,0.000261421529734608,0.15239893040050137,0.847339648069764,0.0006794554516156017,0.4327712664974679,0.5665492780509165
21,410.22051430273405,0.00031096684590177227,0.15235191138326448,0.8473371217708338,0.0008082187510086304,0.43264908344446534,0.5665426978045259
22,410.2203954788702,0.0003625490022904603,0.15230295327134427,0.8473344977263653,0.0009422725961154519,0.4325218649596205,0.5665358624442641
23,410.2202724859739,0.00041625297981605754,0.15225197464946927,0.8473317723707147,0.0010818374821175358,0.4323893999021739,0.5665287626157085
24,410.22014521012505,0.0004721674030978414,0.1521988905685159,0.8473289420283863,0.0012271433403049192,0.4322514679883342,0.5665213886713608
25,410.2200135375585,0.0005303847041336652,0.15214361238315058,0.8473260029127158,0.0013784299606701205,0.432107839372823,0.5665137306665069
26,410.21987735509407,0.0005910012938504091,0.1520860475813681,0.8473229511247815,0.0015359474347591594,0.4319582742096083,0.5665057783556325
27,410.2197365506216,0.0006541177419407522,0.15202609960546126,0.847319782652598,0.0016999566198327835,0.43180252219067145,0.5664975211894957
28,410.2195910136494,0.0007198389654188496,0.15196366766394928,0.8473164933706319,0.0018707296254474987,0.43164032206160735,0.5664889483129452
29,410.21944063592133,0.000788274426351094,0.15189864653396612,0.8473130790396828,0.002048550323626905,0.4314714011127705,0.5664800485636026
30,410.21928531210835,0.0008595383392432589,0.15183092635356896,0.8473095353071878,0.002233714883858382,0.4312954746445968,0.5664708104715448
31,410.2191249405851,0.000933749888591071,0.1517603924034081,0.8473058577080008,0.0024265323342167722,0.4311122454056698,0.5664612222601135
32,410.2189594242994,0.0010110334571283082,0.15168692487713906,0.8473020416657326,0.002627325149986576,0.430921403001956,0.5664512718480574
33,410.2187886717413,0.0010915188653353122,0.15161039863997217,0.8472980824946925,0.002836429871228743,0.43072262327565625,0.566440946853115
34,410.21861259802984,0.0011753416228003288,0.15153068297465053,0.8472939754025491,0.003054197750814772,0.4305155676518821,0.5664302345973032
35,410.21843112611936,0.0012626431920564017,0.15144764131416263,0.847289715493781,0.0032809954345297404,0.4302998824513683,0.5664191221141021
36,410.2182441881461,0.00135357126554956,0.15136113096043372,0.8472852977740167,0.0035172056749316555,0.4300751981672842,0.566407596157784
37,410.2180517269265,0.0014482800564259376,0.15127100278818084,0.8472807171553932,0.0037632280807386492,0.42984112870408664,0.5663956432151747
38,410.2178536976219,0.0015469306038602935,0.1511771009330914,0.8472759684630483,0.004019479903606403,0.42959727057625396,0.5663832495201396
39,410.2176500695884,0.0016496910936830793,0.1510792624634294,0.8472710464428875,0.004286396864249921,0.4293432020646014,0.5663704010711487
40,410.2174408284324,0.0017567371950989485,0.1509773170341202,0.8472659457707808,0.00456443401995858,0.4290784823277521,0.5663570836522892
41,410.2172259782877,0.0018682524143252494,0.15087108652230424,0.8472606610633705,0.004854066675648464,0.42880265046618593,0.5663432828581657
42,410.21700554434466,0.0019844284660161635,0.1507603846433055,0.8472551868906784,0.005155791340696023,0.42851522453617125,0.5663289841231328
43,410.2167795756507,0.0021054656633737704,0.1506450165459069,0.8472495177907193,0.005470126733893351,0.428215700510719,0.5663141727553878
44,410.21654814821363,0.002231573327883396,0.15052477838574105,0.8472436482863756,0.005797614838964504,0.4279035511844885,0.566298833976547
45,410.21631136844013,0.0023629702196449553,0.15039945687557152,0.8472375729047835,0.006138822013178834,0.4275782250195492,0.5662829529672719
46,410.2160693769401,0.002499884989305296,0.1502688288111638,0.8472312861995309,0.0064943401516904245,0.42723914492857207,0.5662665149197376
47,410.21582235273803,0.00264255665262697,0.15013266057137925,0.8472247827759938,0.006864787910323288,0.42688570699199785,0.5662495050976789
48,410.21557051793144,0.0027912350887560884,0.14999070759106906,0.8472180573201749,0.007250811989602986,0.4265172791054203,0.5662319089049768
49,410.2153141428456,0.002946181563274711,0.14984271380528671,0.8472111046314386,0.007653088482911215,0.42613319955345347,0.5662137119636353
50,410.21505355172934,0.0031076692771403163,0.14968841106326894,0.8472039196595907,0.008072324291698598,0.4257327755059055,0.5661949002023959
