protocol,seed,scope,subgroup,view,mean_weight,std_weight,pair_count
overall_binary_ternary,2,generalization,unseen_mixture,rdkit,0.9885897263429173,0.031541889065705236,2127
overall_binary_ternary,2,generalization,unseen_mixture,unimol,0.0004895050158390813,0.001514777673701065,2127
overall_binary_ternary,2,generalization,unseen_mixture,functional_group,0.010920771836891819,0.03031503117892116,2127
overall_binary_ternary,3,generalization,unseen_mixture,rdkit,0.8652130080867978,0.20576134013028669,2006
overall_binary_ternary,3,generalization,unseen_mixture,unimol,0.010092472797259926,0.01720055579835669,2006
overall_binary_ternary,3,generalization,unseen_mixture,functional_group,0.12469452009233745,0.19049731650798507,2006
overall_binary_ternary,4,generalization,unseen_mixture,rdkit,0.9226010074180556,0.12930813059622095,2116
overall_binary_ternary,4,generalization,unseen_mixture,unimol,0.014270943119765695,0.019151431393865843,2116
overall_binary_ternary,4,generalization,unseen_mixture,functional_group,0.06312804822616336,0.11961925884979258,2116
unseen_component,0,generalization,unseen_component,rdkit,0.9455480661048375,0.1114104789552461,1262
unseen_component,0,generalization,unseen_component,unimol,0.03406098724769453,0.07445118305946392,1262
unseen_component,0,generalization,unseen_component,functional_group,0.020390944357516618,0.03869798979000481,1262
unseen_component,1,generalization,unseen_component,rdkit,0.956950323470232,0.09836870827293626,1262
unseen_component,1,generalization,unseen_component,unimol,0.01517451799971476,0.0355721683426113,1262
unseen_component,1,generalization,unseen_component,functional_group,0.02787515429590264,0.06639338196673399,1262
unseen_component,2,generalization,unseen_component,rdkit,0.8913265544915256,0.2623755017695422,1262
unseen_component,2,generalization,unseen_component,unimol,0.001041101970160059,0.001993697363923327,1262
unseen_component,2,generalization,unseen_component,functional_group,0.10763234308338998,0.26073862767378825,1262
unseen_component,3,generalization,unseen_component,rdkit,0.9748846524750752,0.14226440387386427,1262
unseen_component,3,generalization,unseen_component,unimol,0.0008221963263166167,0.0020726825645020503,1262
unseen_component,3,generalization,unseen_component,functional_group,0.024293159238580078,0.1419500323301896,1262
unseen_component,4,generalization,unseen_component,rdkit,0.8379941378202047,0.34106186720261605,1262
unseen_component,4,generalization,unseen_component,unimol,0.016009383813203205,0.033322441815542315,1262
unseen_component,4,generalization,unseen_component,functional_group,0.14599647614259934,0.3106392905992593,1262
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> ether,rdkit,0.9991069942947448,0.00031140923687603735,127
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> ether,unimol,0.0003550747546044684,0.00016664928896679623,127
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> ether,functional_group,0.000537927222610488,0.0001466463340938571,127
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> ketone,rdkit,0.999925785177336,3.978991722144858e-05,127
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> ketone,unimol,8.998806277118342e-06,4.868307376853182e-06,127
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> ketone,functional_group,6.521179602714255e-05,3.493195392462448e-05,127
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> primary_amine,rdkit,0.999798276594707,0.00018776693353432863,42
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> primary_amine,unimol,5.533440202720201e-05,5.51520799402695e-05,42
binary_to_ternary_zero_shot,0,chemical_family_pair,BASE/OTHER <-> primary_amine,functional_group,0.00014639412009793368,0.00013272693205043485,42
binary_to_ternary_zero_shot,0,chemical_family_pair,alcohol <-> aromatic_ring,rdkit,0.9999010894033644,1.2307637073633225e-05,18
binary_to_ternary_zero_shot,0,chemical_family_pair,alcohol <-> aromatic_ring,unimol,3.382073797790023e-05,5.415009107369746e-06,18
binary_to_ternary_zero_shot,0,chemical_family_pair,alcohol <-> aromatic_ring,functional_group,6.507345016062673e-05,6.9194222530631915e-06,18
binary_to_ternary_zero_shot,0,chemical_family_pair,alcohol <-> sulfoxide,rdkit,0.9998606940110525,2.091678874204167e-05,18
binary_to_ternary_zero_shot,0,chemical_family_pair,alcohol <-> sulfoxide,unimol,7.69797457501732e-06,1.2793667687827266e-06,18
binary_to_ternary_zero_shot,0,chemical_family_pair,alcohol <-> sulfoxide,functional_group,0.0001315821407640922,1.965303219062018e-05,18
binary_to_ternary_zero_shot,0,chemical_family_pair,aromatic_ring <-> sulfoxide,rdkit,0.9999918010499742,9.365966335754228e-07,18
binary_to_ternary_zero_shot,0,chemical_family_pair,aromatic_ring <-> sulfoxide,unimol,2.961863066906921e-07,4.247458938152317e-08,18
binary_to_ternary_zero_shot,0,chemical_family_pair,aromatic_ring <-> sulfoxide,functional_group,7.894587699613314e-06,8.891602851940056e-07,18
binary_to_ternary_zero_shot,0,chemical_family_pair,ether <-> ketone,rdkit,0.9994911936324412,4.5944367671349115e-05,127
binary_to_ternary_zero_shot,0,chemical_family_pair,ether <-> ketone,unimol,7.583894453485364e-05,6.0397383419432085e-06,127
binary_to_ternary_zero_shot,0,chemical_family_pair,ether <-> ketone,functional_group,0.0004329653071811584,4.1868981485398414e-05,127
binary_to_ternary_zero_shot,0,chemical_family_pair,primary_amine <-> primary_amine,rdkit,0.9998878070286342,8.936895267307827e-06,21
