dataset,component_count,system_id,system_label,data_points,references,unique_temperatures,unique_pressures,temperature_min_k,temperature_max_k,pressure_min_kpa,pressure_max_kpa,liquid_composition_min,liquid_composition_max,vapor_composition_min,vapor_composition_max,component_order_variants
Binary,2,fallback:b63ac75aa69de5ee || smiles:O=C(O)CCl,1-(2-(2-(戊氧基)乙氧基)乙氧基)戊烷 / 氯乙酸,33,1,33,3,381.29999999999995,463.7,4.999988767104,9.999977534208,0.038,0.962,0.0010000000000000009,0.999,1
Binary,2,smiles:C1CCCCC1 || smiles:CCCCCC(=O)O,环己烷 / 己酸,33,1,4,33,413.46,483.68999999999994,351.799998921856,1464.599941394304,0.07599999999999996,0.924,0.006000000000000005,0.994,1
Binary,2,smiles:C=CCC || smiles:FC(F)(F)C1(F)OC1(F)F,"1-丁烯 / 2,2,3-三氟-3-(三氟甲基)环氧乙烷",33,1,3,33,312.92999999999995,342.83,697.99992509824,2136.000054241024,0.040000000000000036,0.96,0.04700000000000004,0.953,1
Binary,2,smiles:CC(C)(C)Cl || smiles:CC(C)OC(C)C,2-氯-2-甲基丙烷 / 二异丙醚,33,1,3,33,288.15,308.15,13.255043148928001,58.070023928447995,0.0369,0.9631,0.03190000000000004,0.9681,1
Binary,2,smiles:CC(C)(C)Cl || smiles:CCCCOCC,2-氯-2-甲基丙烷 / 乙基丁基醚,33,1,3,33,288.15,308.15,5.0450517274880005,56.124983901696,0.0214,0.9786,0.017299999999999982,0.9827,1
Binary,2,smiles:CC(C)CCl || smiles:CCCCOCC,1-氯-2-甲基丙烷 / 乙基丁基醚,33,1,3,33,288.15,308.15,4.945059951488,28.630045271424,0.0554,0.9446,0.04300000000000004,0.957,1
Binary,2,smiles:CC(C)OC(C)C || smiles:CCCCCl,二异丙醚 / 1-氯丁烷,33,1,3,33,288.15,308.15,8.60995852544,30.010065102591998,0.03969999999999996,0.9603,0.0405,0.9595,1
Binary,2,smiles:CCC(C)Cl || smiles:CCCCOCC,2-氯丁烷 / 乙基丁基醚,33,1,3,33,288.15,308.15,5.1099797207040005,29.935004609408,0.0669,0.9331,0.033399999999999985,0.9666,1
Binary,2,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,二氯乙酸 / 氯乙酸,33,1,33,3,380.7,399.79999999999995,4.999988767104,9.999977534208,0.051,0.949,0.039000000000000035,0.961,1
Binary,2,smiles:C=C || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,乙烯 / 全氟庚烷,32,1,10,32,308.16999999999996,338.21,1069.99999596288,7509.999926808576,0.128,0.872,0.0121,0.9879,1
Binary,2,smiles:CC(C)CCl || smiles:CC(C)OC(C)C,1-氯-2-甲基丙烷 / 二异丙醚,32,1,3,29,288.15,308.15,12.710021308543999,30.674943751807998,0.06499999999999995,0.935,0.06820000000000004,0.9318,1
Binary,2,smiles:CC(C)O || smiles:COC(=O)OC,2-丙醇 / 碳酸二甲酯,32,1,32,1,352.25,361.67999999999995,101.299935074816,101.299935074816,0.02090000000000003,0.9791,0.04039999999999999,0.9596,1
Binary,2,smiles:CCC || smiles:FC(F)(F)I,丙烷 / 三氟碘甲烷,32,1,4,32,258.15,283.15,132.999994514176,636.700033482624,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCC(C)O || smiles:COC(=O)OC,2-丁醇 / 碳酸二甲酯,32,1,31,1,361.92999999999995,371.33,101.299935074816,101.299935074816,0.032,0.968,0.058699999999999974,0.9413,1
Binary,2,smiles:CCCCCCC || smiles:CCCCOC=O,正庚烷 / 甲酸正丁酯,32,1,32,1,368.78,380.13,101.319933430016,101.319933430016,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCO || smiles:CCOC(=O)C(F)(F)F,乙醇 / 三氟乙酸乙酯,32,1,31,1,330.55999999999995,351.54999999999995,101.299935074816,101.299935074816,0.0,1.0,0.0,1.0,1
Binary,2,smiles:COCCOC || smiles:O=C=O,"1,2-二甲氧基乙烷 / 二氧化碳",32,1,4,29,313.15,343.15,1069.99999596288,9900.000023701376,0.016700000000000048,0.9833,0.0007000000000000339,0.9993,1
Binary,2,smiles:FC(F)(F)I || smiles:FC(F)C(F)F,"三氟碘甲烷 / 1,1,2,2-四氟乙烷",32,1,4,31,258.15,283.15,124.300043390336,418.69996328294394,0.0,1.0,0.0,1.0,1
Binary,2,smiles:FC(F)(F)I || smiles:O=C=O,三氟碘甲烷 / 二氧化碳,32,1,4,32,243.14999999999998,273.15,72.70002065855999,3483.800002056832,0.0,1.0,0.0,1.0,1
Binary,2,smiles:O=C=O || smiles:[N]=O,二氧化碳 / 一氧化氮,32,1,3,32,232.92999999999998,273.02,1009.9000056592639,11485.999980337281,0.0,1.0,0.0,1.0,1
Binary,2,smiles:C1CCOC1 || smiles:CO,四氢呋喃 / 甲醇,31,2,27,1,332.4,338.65,101.299935074816,101.299935074816,0.0,1.0,0.0,1.0,2
Binary,2,smiles:C1COCO1 || smiles:CCCCCCCl,"1,3-二噁戊环 / 1-氯己烷",31,1,2,31,298.15,328.15,1.580003383168,46.494975938688,0.0115,0.9885,0.016000000000000014,0.984,1
Binary,2,smiles:CCCCCCC || smiles:CCOC=O,正庚烷 / 甲酸乙酯,31,1,30,1,327.27,371.55999999999995,101.319933430016,101.319933430016,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCCCCCC || smiles:COC=O,正辛烷 / 甲酸甲酯,31,1,31,1,304.7,398.83,101.319933430016,101.319933430016,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCCCCCCC || smiles:CCCCOC=O,正壬烷 / 甲酸正丁酯,31,1,31,1,379.74,423.93999999999994,101.319933430016,101.319933430016,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCCCO || smiles:O=C=O,1-戊醇 / 二氧化碳,31,1,3,30,313.0,333.0,1809.999933362688,11719.999934598272,0.091,0.909,0.0020000000000000018,0.998,1
Binary,2,smiles:CN(C)C=O || smiles:CS(C)=O,"N,N-二甲基甲酰胺 / 二甲基亚砜",31,1,31,1,426.03,463.75,101.299935074816,101.299935074816,0.008000000000000007,0.992,0.0020000000000000018,0.998,1
Binary,2,smiles:ClC(Cl)C(Cl)Cl || smiles:O=C1CCCCC1,"1,1,2,2-四氯乙烷 / 环己酮",31,1,2,29,343.15,353.15,4.210053736703999,11.230009701376,0.0,1.0,0.0,1.0,1
Binary,2,smiles:O || smiles:O=C(O)C(F)(F)F,水 / 三氟乙酸,31,1,31,1,344.90999999999997,378.96999999999997,101.299935074816,101.299935074816,0.0,1.0,0.0,1.0,1
Binary,2,fallback:4501d0d6bfddcc6a || smiles:CC(C)O,乙酸异丙酯 / 2-丙醇,30,2,26,2,353.59999999999997,361.79999999999995,100.999959746816,101.299935074816,0.0,1.0,0.0,1.0,2
Binary,2,smiles:C1CCCCC1 || smiles:CCSCC,环己烷 / 3-硫杂戊烷,30,1,2,30,343.15,353.15,50.140009479808,99.40995718604799,0.0,1.0,0.0,1.0,1
Binary,2,smiles:C=C(Cl)C(F)(F)F || smiles:C=C(F)C(F)(F)F,"2-氯-3,3,3-三氟丙烯 / 2,3,3,3-四氟-1-丙烯",30,1,3,30,293.15,313.15,132.60002741017598,1018.199989679104,0.0,1.0,0.0,1.0,1
