component_id,canonical_smiles,inchikey,representative_original_name,representative_formula,representative_raw_smiles,dataset_membership,record_occurrences,binary_record_occurrences,ternary_record_occurrences,unique_systems,identity_methods,has_parseable_smiles,raw_missing_smiles_occurrences,raw_smiles_parse_failures,name_variants,formula_variants,umap_1,umap_2,umap_status,molecular_weight_g_mol,logp,tpsa_a2,primary_functional_family,functional_families,fingerprint_radius,fingerprint_bits
smiles:CCC(C)C,CCC(C)C,QWTDNUCVQCZILF-UHFFFAOYSA-N,2-甲基丁烷,C5H12,CCC(C)C,Binary only,20,20,0,1,canonical_smiles,True,0,0,1,1,11.223400115966797,4.406156063079834,projected,72.151,2.0524,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCC(C)CC,CCC(C)CC,PFEOZHBOMNWTJB-UHFFFAOYSA-N,3-甲基戊烷,C6H14,CCC(C)CC,Binary only,75,75,0,2,canonical_smiles,True,0,0,1,1,11.085594177246094,4.248518943786621,projected,86.178,2.442500000000001,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCC(C)Cl,CCC(C)Cl,BSPCSKHALVHRSR-UHFFFAOYSA-N,2-氯丁烷,C4H9Cl,CCC(C)Cl,Binary only,327,327,0,6,canonical_smiles,True,0,0,1,1,11.106937408447266,4.214177131652832,projected,92.569,2.0237,0.0,halogenated,halogenated,2,2048
smiles:CCC(C)O,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,2-丁醇,C4H10O,CCC(C)O,Shared,520,476,44,16,canonical_smiles,True,0,0,1,1,10.861629486083984,4.633424282073975,projected,74.12299999999999,0.7771999999999999,20.23,alcohol,alcohol,2,2048
smiles:CCC(C)OC(C)=O,CCC(C)OC(C)=O,DCKVNWZUADLDEH-UHFFFAOYSA-N,乙酸仲丁酯,C6H12O2,CCC(C)OC(=O)C,Shared,146,102,44,7,canonical_smiles,True,0,0,1,1,8.712270736694336,6.057478904724121,projected,116.15999999999998,1.3479999999999999,26.3,ester,ester;ether,2,2048
smiles:CCC(O)CC,CCC(O)CC,AQIXEPGDORPWBJ-UHFFFAOYSA-N,3-戊醇,C5H12O,CCC(CC)O,Binary only,26,26,0,1,canonical_smiles,True,0,0,1,1,10.898735046386719,4.549177646636963,projected,88.15,1.1673,20.23,alcohol,alcohol,2,2048
smiles:CCC=C(C)C,CCC=C(C)C,JMMZCWZIJXAGKW-UHFFFAOYSA-N,2-甲基-2-戊烯,C6H12,CCC=C(C)C,Binary only,13,13,0,1,canonical_smiles,True,0,0,1,1,12.442349433898926,5.618215560913086,projected,84.16199999999999,2.3626000000000005,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCC,CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N,丁烷,C4H10,CCCC,Binary only,692,692,0,14,canonical_smiles,True,0,0,1,1,12.849435806274414,7.132304668426514,projected,58.123999999999995,1.8064,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCC(=O)O,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,丁酸,C4H8O2,CCCC(=O)O,Binary only,150,150,0,3,canonical_smiles,True,0,0,1,1,7.87827730178833,5.191977500915527,projected,88.10599999999998,0.8711,37.3,acid,acid;alcohol,2,2048
smiles:CCCC(=O)OCC,CCCC(=O)OCC,OBNCKNCVKJNDBV-UHFFFAOYSA-N,丁酸乙酯,C6H12O2,CCCC(=O)OCC,Binary only,23,23,0,1,canonical_smiles,True,0,0,1,1,7.736200332641602,6.00053071975708,projected,116.15999999999998,1.3496000000000001,26.3,ester,ester;ether,2,2048
smiles:CCCC(=O)OCC1CO1,CCCC(=O)OCC1CO1,YLNSNVGRSIOCEU-UHFFFAOYSA-N,丁二酸缩水甘油酯,C7H12O3,CCCC(=O)OCC1CO1,Binary only,52,52,0,1,canonical_smiles,True,0,0,1,1,7.5234479904174805,5.980326175689697,projected,144.16999999999996,0.7285,38.83,ester,ester;ether,2,2048
smiles:CCCC(C)=O,CCCC(C)=O,XNLICIUVMPYHGG-UHFFFAOYSA-N,2-戊酮,C5H10O,CCCC(=O)C,Binary only,35,35,0,1,canonical_smiles,True,0,0,1,1,8.354853630065918,5.459787368774414,projected,86.13399999999999,1.3755,17.07,ketone,ketone,2,2048
smiles:CCCC(C)C,CCCC(C)C,AFABGHUZZDYHJO-UHFFFAOYSA-N,2-甲基戊烷,C6H14,CCCC(C)C,Binary only,11,11,0,1,canonical_smiles,True,0,0,1,1,11.339542388916016,4.618246555328369,projected,86.178,2.442500000000001,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCC(C)O,CCCC(C)O,JYVLIDXNZAXMDK-UHFFFAOYSA-N,2-戊醇,C5H12O,CCCC(C)O,Shared,267,212,55,10,canonical_smiles,True,0,0,1,1,11.033495903015137,4.795420169830322,projected,88.14999999999999,1.1673,20.23,alcohol,alcohol,2,2048
smiles:CCCCC,CCCCC,OFBQJSOFQDEBGM-UHFFFAOYSA-N,戊烷,C5H12,CCCCC,Binary only,195,195,0,6,canonical_smiles,True,0,0,1,1,13.075884819030762,7.154505252838135,projected,72.151,2.1965000000000003,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCCC(CC)CO,CCCCC(CC)CO,YIWUKEYIRIRTPP-UHFFFAOYSA-N,2-乙基-1-己醇,C8H18O,CCCCC(CC)CO,Binary only,28,28,0,2,canonical_smiles,True,0,0,1,1,12.1094331741333,8.596501350402832,projected,130.231,2.1951000000000005,20.23,alcohol,alcohol,2,2048
smiles:CCCCC1CCCCC1,CCCCC1CCCCC1,GGBJHURWWWLEQH-UHFFFAOYSA-N,丁基环己烷,C10H20,CCCCC1CCCCC1,Binary only,21,21,0,1,canonical_smiles,True,0,0,1,1,13.55704116821289,6.916025638580322,projected,140.26999999999998,3.7569000000000026,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCCCC,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,正己烷,C6H14,CCCCCC,Shared,488,331,157,13,canonical_smiles,True,0,0,1,1,13.29552173614502,7.2682952880859375,projected,86.178,2.5866000000000007,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCCCC(=O)O,CCCCCC(=O)O,FUZZWVXGSFPDMH-UHFFFAOYSA-N,己酸,C6H12O2,CCCCCC(=O)O,Binary only,33,33,0,1,canonical_smiles,True,0,0,1,1,7.72216272354126,5.14028787612915,projected,116.15999999999998,1.6513,37.3,acid,acid;alcohol,2,2048
smiles:CCCCCC=O,CCCCCC=O,JARKCYVAAOWBJS-UHFFFAOYSA-N,己醛,C6H12O,CCCCCC=O,Binary only,16,16,0,1,canonical_smiles,True,0,0,1,1,13.2371244430542,6.659805774688721,projected,100.16099999999999,1.7656,17.07,other,other,2,2048
smiles:CCCCCCC,CCCCCCC,IMNFDUFMRHMDMM-UHFFFAOYSA-N,正庚烷,C7H16,CCCCCCC,Binary only,1098,1098,0,29,canonical_smiles,True,0,0,1,1,13.431510925292969,7.260071277618408,projected,100.205,2.976700000000002,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCCCCCC,CCCCCCCC,TVMXDCGIABBOFY-UHFFFAOYSA-N,正辛烷,C8H18,CCCCCCCC,Shared,401,281,120,13,canonical_smiles,True,0,0,1,1,13.526597023010254,7.311701774597168,projected,114.232,3.3668000000000022,0.0,hydrocarbon,hydrocarbon,2,2048
