dataset,system_id,system_formula_label,family_1,family_2,family_pair,data_points
Binary,smiles:CCF || smiles:F/C=C/C(F)(F)F,C2H5F / C3H2F4,halogenated,halogenated,halogenated + halogenated,55
Binary,smiles:CO || smiles:O=C=O,CH4O / CO2,alcohol,other,alcohol + other,55
Binary,smiles:F/C=C/C(F)(F)F || smiles:FC(F)(F)I,C3H2F4 / CF3I,halogenated,halogenated,halogenated + halogenated,55
Binary,smiles:CCCCCCC || smiles:FC(F)F,C7H16 / CHF3,halogenated,hydrocarbon,halogenated + hydrocarbon,54
Binary,smiles:CCCCCCCCC || smiles:FC(F)F,C9H20 / CHF3,halogenated,hydrocarbon,halogenated + hydrocarbon,54
Binary,smiles:ClC(Cl)C(Cl)Cl || smiles:O=C1CCCC1,C2H2Cl4 / C5H8O,halogenated,ketone,halogenated + ketone,54
Binary,smiles:CC || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C2H6 / C8F18,halogenated,hydrocarbon,halogenated + hydrocarbon,53
Binary,smiles:CC(=O)C(C)C || smiles:CC(C)C(C)C,C5H10O / C6H14,hydrocarbon,ketone,hydrocarbon + ketone,53
Binary,smiles:CC(F)(F)F || smiles:CCC,C2H3F3 / C3H8,halogenated,hydrocarbon,halogenated + hydrocarbon,53
Binary,smiles:CC12CCC(CC1)C(C)(C)O2 || smiles:CCO,C10H18O / C2H6O,alcohol,ether,alcohol + ether,53
Binary,smiles:CCCCCCC || smiles:c1ccsc1,C7H16 / C4H4S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,53
Binary,smiles:Cc1ccccc1 || smiles:O=C=O,C7H8 / CO2,aromatic,other,aromatic + other,53
Binary,smiles:CC(C)=O || smiles:CCC(C)O,C3H6O / C4H10O,alcohol,ketone,alcohol + ketone,52
Binary,smiles:CC(C)OC(C)C || smiles:CCO,C6H14O / C2H6O,alcohol,ether,alcohol + ether,52
Binary,smiles:CCCC(=O)OCC1CO1 || smiles:ClCC1CO1,C7H12O3 / C3H5ClO,ester,ether,ester + ether,52
Binary,smiles:CCCCCCCO || smiles:O=C=O,C7H16O / CO2,alcohol,other,alcohol + other,52
Binary,smiles:C1CCCCC1 || smiles:CCCCCl,C6H12 / C4H9Cl,halogenated,hydrocarbon,halogenated + hydrocarbon,51
Binary,smiles:CC(C)CCl || smiles:CCCCCCC,C4H9Cl / C7H16,halogenated,hydrocarbon,halogenated + hydrocarbon,51
Binary,smiles:CC1CCCCC1 || smiles:COCCO,C7H14 / C3H8O2,alcohol,hydrocarbon,alcohol + hydrocarbon,51
Binary,smiles:CCC(C)O || smiles:CCCC(=O)O,C4H10O / C4H8O2,acid,alcohol,acid + alcohol,51
Binary,smiles:CCCC || smiles:FC(F)CC(F)(F)F,C4H10 / C3H3F5,halogenated,hydrocarbon,halogenated + hydrocarbon,51
Binary,smiles:CCCCCC || smiles:FC(F)F,C6H14 / CHF3,halogenated,hydrocarbon,halogenated + hydrocarbon,51
Binary,smiles:C=C(F)C(F)(F)F || smiles:FC(C(F)(F)F)C(F)(F)F,C3H2F4 / C3HF7,halogenated,halogenated,halogenated + halogenated,50
Binary,smiles:CC(C)O || smiles:CCCC(=O)O,C3H8O / C4H8O2,acid,alcohol,acid + alcohol,50
Binary,smiles:CCC(=O)O || smiles:CCCCCO,C3H6O2 / C5H12O,acid,alcohol,acid + alcohol,50
Binary,smiles:CCCO || smiles:O=C=O,C3H8O / CO2,alcohol,other,alcohol + other,50
Binary,smiles:FC(C(F)(F)F)C(F)(F)F || smiles:FCC(F)(F)F,C3HF7 / C2H2F4,halogenated,halogenated,halogenated + halogenated,50
Binary,smiles:FCC(F)(F)F || smiles:N,C2H2F4 / H3N,amine,halogenated,amine + halogenated,50
Binary,smiles:C=C || smiles:FC(F)(F)C1(F)OC1(F)F,C2H4 / C3F6O,ether,hydrocarbon,ether + hydrocarbon,49
Binary,smiles:CC(C)(C)O || smiles:O,C4H10O / H2O,alcohol,water,alcohol + water,49
Binary,smiles:CC(C)=O || smiles:CCC(=O)O,C3H6O / C3H6O2,acid,ketone,acid + ketone,49
Binary,smiles:CC(C)CO || smiles:CCCC(=O)O,C4H10O / C4H8O2,acid,alcohol,acid + alcohol,49
Binary,smiles:N#N || smiles:O=S=O,N2 / O2S,other,sulfur-containing,other + sulfur-containing,49
Binary,smiles:C1CCCCC1 || smiles:Cc1cccc(C)n1,C6H12 / C7H9N,aromatic,hydrocarbon,aromatic + hydrocarbon,48
Binary,smiles:CC(=O)C(C)(C)C || smiles:COC(C)(C)C,C6H12O / C5H12O,ether,ketone,ether + ketone,48
Binary,smiles:CC(=O)CC(C)C || smiles:CC(C)CC(C)(C)C,C6H12O / C8H18,hydrocarbon,ketone,hydrocarbon + ketone,48
Binary,smiles:CC(=O)CC(C)C || smiles:CC(C)CO,C6H12O / C4H10O,alcohol,ketone,alcohol + ketone,48
Binary,smiles:CC(C)OC(C)C || smiles:CO,C6H14O / CH4O,alcohol,ether,alcohol + ether,48
Binary,smiles:CCC || smiles:FC(F)C(F)F,C3H8 / C2H2F4,halogenated,hydrocarbon,halogenated + hydrocarbon,48
Binary,smiles:CCC(=O)O || smiles:O,C3H6O2 / H2O,acid,water,acid + water,48
Binary,smiles:CCCO || smiles:CCCOC(C)=O,C3H8O / C5H10O2,alcohol,ester,alcohol + ester,48
Binary,smiles:COC || smiles:FCC(F)(F)F,C2H6O / C2H2F4,ether,halogenated,ether + halogenated,48
Binary,smiles:C=CC || smiles:FC(F)=C(F)C(F)(F)F,C3H6 / C3F6,halogenated,hydrocarbon,halogenated + hydrocarbon,47
Binary,smiles:CC(=O)CC(C)C || smiles:CC(C)O,C6H12O / C3H8O,alcohol,ketone,alcohol + ketone,47
Binary,smiles:CCCCCCCCCCCCO || smiles:O=C=O,C12H26O / CO2,alcohol,other,alcohol + other,47
Binary,smiles:COC || smiles:FCF,C2H6O / CH2F2,ether,halogenated,ether + halogenated,47
Binary,smiles:C=C || smiles:FC(F)=C(F)C(F)(F)F,C2H4 / C3F6,halogenated,hydrocarbon,halogenated + hydrocarbon,46
Binary,smiles:FC(C(F)(F)F)C(F)(F)F || smiles:FC(F)C(F)(F)F,C3HF7 / C2HF5,halogenated,halogenated,halogenated + halogenated,46
Binary,smiles:C1COCCO1 || smiles:CC(C)CO,C4H8O2 / C4H10O,alcohol,ether,alcohol + ether,45
Binary,smiles:C=C(F)C(F)(F)F || smiles:CC(F)(F)F,C3H2F4 / C2H3F3,halogenated,halogenated,halogenated + halogenated,45
Binary,smiles:CCC(=O)OC || smiles:[C-]#[O+],C4H8O2 / CO,ester,other,ester + other,45
Binary,smiles:CCOC(=O)CC || smiles:[C-]#[O+],C5H10O2 / CO,ester,other,ester + other,45
Binary,smiles:CC[N+](=O)[O-] || smiles:ClCCCCCl,C2H5NO2 / C4H8Cl2,amine,halogenated,amine + halogenated,45
Binary,smiles:COC(=O)CCC(=O)OC || smiles:COC(=O)CCCC(=O)OC,C6H10O4 / C7H12O4,ester,ester,ester + ester,45
Binary,smiles:COC(=O)CCC(=O)OC || smiles:COC(=O)CCCCC(=O)OC,C6H10O4 / C8H14O4,ester,ester,ester + ester,45
Binary,smiles:C[N+](=O)[O-] || smiles:ClCCCCCl,CH3NO2 / C4H8Cl2,amine,halogenated,amine + halogenated,45
Binary,smiles:O=[N+]([O-])c1ccc(Cl)c(Cl)c1 || smiles:O=[N+]([O-])c1cccc(Cl)c1Cl,C6H3Cl2NO2 / C6H3Cl2NO2,amine,amine,amine + amine,45
Binary,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,C3H3F3 / C2H2F4,halogenated,unresolved,halogenated + unresolved,44
