ternary_system_id,component_id_1,component_id_2,component_id_3,available_binary_subsystems,coverage_category,binary_subsystem_1,binary_subsystem_1_available,binary_subsystem_2,binary_subsystem_2_available,binary_subsystem_3,binary_subsystem_3_available
smiles:CCO || smiles:CCOC(=O)OCC || smiles:O,smiles:CCO,smiles:CCOC(=O)OCC,smiles:O,3,3/3,smiles:CCO || smiles:CCOC(=O)OCC,True,smiles:CCO || smiles:O,True,smiles:CCOC(=O)OCC || smiles:O,True
smiles:CCO || smiles:O || smiles:OCCCO,smiles:CCO,smiles:O,smiles:OCCCO,3,3/3,smiles:CCO || smiles:O,True,smiles:CCO || smiles:OCCCO,True,smiles:O || smiles:OCCCO,True
smiles:CO || smiles:COC(C)=O || smiles:CS(C)=O,smiles:CO,smiles:COC(C)=O,smiles:CS(C)=O,3,3/3,smiles:CO || smiles:COC(C)=O,True,smiles:CO || smiles:CS(C)=O,True,smiles:COC(C)=O || smiles:CS(C)=O,True
smiles:COCCO || smiles:CS(C)=O || smiles:Cc1ccccc1,smiles:COCCO,smiles:CS(C)=O,smiles:Cc1ccccc1,3,3/3,smiles:COCCO || smiles:CS(C)=O,True,smiles:COCCO || smiles:Cc1ccccc1,True,smiles:CS(C)=O || smiles:Cc1ccccc1,True
smiles:O=C=O || smiles:O=O || smiles:O=S=O,smiles:O=C=O,smiles:O=O,smiles:O=S=O,3,3/3,smiles:O=C=O || smiles:O=O,True,smiles:O=C=O || smiles:O=S=O,True,smiles:O=O || smiles:O=S=O,True
fallback:4501d0d6bfddcc6a || smiles:CC(C)O || smiles:O,fallback:4501d0d6bfddcc6a,smiles:CC(C)O,smiles:O,2,2/3,fallback:4501d0d6bfddcc6a || smiles:CC(C)O,True,fallback:4501d0d6bfddcc6a || smiles:O,False,smiles:CC(C)O || smiles:O,True
smiles:C1CCOCC1 || smiles:CCCCCC || smiles:CCO,smiles:C1CCOCC1,smiles:CCCCCC,smiles:CCO,2,2/3,smiles:C1CCOCC1 || smiles:CCCCCC,True,smiles:C1CCOCC1 || smiles:CCO,False,smiles:CCCCCC || smiles:CCO,True
smiles:CC(=O)N(C)C || smiles:CCC(C)O || smiles:CCC(C)OC(C)=O,smiles:CC(=O)N(C)C,smiles:CCC(C)O,smiles:CCC(C)OC(C)=O,2,2/3,smiles:CC(=O)N(C)C || smiles:CCC(C)O,True,smiles:CC(=O)N(C)C || smiles:CCC(C)OC(C)=O,True,smiles:CCC(C)O || smiles:CCC(C)OC(C)=O,False
smiles:CC(=O)O || smiles:CCC(C)=O || smiles:O,smiles:CC(=O)O,smiles:CCC(C)=O,smiles:O,2,2/3,smiles:CC(=O)O || smiles:CCC(C)=O,True,smiles:CC(=O)O || smiles:O,True,smiles:CCC(C)=O || smiles:O,False
smiles:CC(=O)O || smiles:CN(C)C=O || smiles:O,smiles:CC(=O)O,smiles:CN(C)C=O,smiles:O,2,2/3,smiles:CC(=O)O || smiles:CN(C)C=O,True,smiles:CC(=O)O || smiles:O,True,smiles:CN(C)C=O || smiles:O,False
