dataset,rank,system_id,system_label,data_points
Binary,126,smiles:COC || smiles:FCC(F)(F)F,"dimethyl ether / 1,1,1,2-四氟乙烷",48
Binary,127,smiles:CCCO || smiles:CCCOC(C)=O,1-丙醇 / 乙酸正丙酯,48
Binary,128,smiles:CCC || smiles:FC(F)C(F)F,"丙烷 / 1,1,2,2-四氟乙烷",48
Binary,129,smiles:CCC(=O)O || smiles:O,丙酸 / 水,48
Binary,130,smiles:CC(=O)CC(C)C || smiles:CC(C)CO,4-甲基-2-戊酮 / 2-甲基-1-丙醇,48
Binary,131,smiles:CC(=O)C(C)(C)C || smiles:COC(C)(C)C,"3,3-二甲基-2-丁酮 / 2-甲氧基-2-甲基丙烷",48
Binary,132,smiles:C1CCCCC1 || smiles:Cc1cccc(C)n1,"环己烷 / 2,6-二甲基吡啶",48
Binary,133,smiles:CC(=O)CC(C)C || smiles:CC(C)CC(C)(C)C,4-甲基-2-戊酮 / 异辛烷,48
Binary,134,smiles:C=CC || smiles:FC(F)=C(F)C(F)(F)F,丙烯 / 六氟丙烯,47
Binary,135,smiles:CC(=O)CC(C)C || smiles:CC(C)O,4-甲基-2-戊酮 / 2-丙醇,47
Binary,136,smiles:CCCCCCCCCCCCO || smiles:O=C=O,1-十二醇 / 二氧化碳,47
Binary,137,smiles:COC || smiles:FCF,dimethyl ether / 二氟甲烷,47
Binary,138,smiles:C=C || smiles:FC(F)=C(F)C(F)(F)F,乙烯 / 六氟丙烯,46
Binary,139,smiles:FC(C(F)(F)F)C(F)(F)F || smiles:FC(F)C(F)(F)F,"1,1,1,2,3,3,3-七氟丙烷 / 五氟乙烷",46
Binary,140,smiles:COC(=O)CCC(=O)OC || smiles:COC(=O)CCCC(=O)OC,丁二酸二甲酯 / 戊二酸二甲酯,45
Binary,141,smiles:O=[N+]([O-])c1ccc(Cl)c(Cl)c1 || smiles:O=[N+]([O-])c1cccc(Cl)c1Cl,"3,4-二氯-1-硝基苯 / 1,2-二氯-3-硝基苯",45
Binary,142,smiles:C[N+](=O)[O-] || smiles:ClCCCCCl,"硝基甲烷 / 1,4-二氯丁烷",45
Binary,143,smiles:COC(=O)CCC(=O)OC || smiles:COC(=O)CCCCC(=O)OC,丁二酸二甲酯 / 己二酸二甲酯,45
Binary,144,smiles:C1COCCO1 || smiles:CC(C)CO,"1,4-二噁烷 / 2-甲基-1-丙醇",45
Binary,145,smiles:CC[N+](=O)[O-] || smiles:ClCCCCCl,"硝基乙烷 / 1,4-二氯丁烷",45
Binary,146,smiles:CCOC(=O)CC || smiles:[C-]#[O+],丙酸乙酯 / 一氧化碳,45
