component_count,direction,model,nonphysical_rate_mean,nonphysical_rate_std,pressure_mae_kpa_mean,pressure_mae_kpa_std,pressure_r2_mean,pressure_r2_std,pressure_rmse_kpa_mean,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_std,protocol,seeds,solver_failure_rate_mean,solver_failure_rate_std,system_parameter_coverage_mean,system_parameter_coverage_std,temperature_mae_k_mean,temperature_mae_k_std,temperature_r2_mean,temperature_r2_std,temperature_rmse_k_mean,temperature_rmse_k_std,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_std,valid_coverage_mean,valid_coverage_std,y_mae_mean,y_mae_std,y_r2_mean,y_r2_std,y_rmse_mean,y_rmse_std,y_system_macro_mae_mean,y_system_macro_mae_std,y_system_macro_rmse_mean,y_system_macro_rmse_std
,isothermal,uniquac,0.0,0.0,1.9408512084959593,0.09718546333764017,0.9976634917317185,0.0004466993289199257,5.381332879808398,0.49216348228228296,2.4156932675095217,0.23938638352567257,6.3431722321927575,0.8351642110096258,state_composition_interpolation,5,0.6802721088435374,0.0,0.4176470588235294,0.0,,,,,,,,,,,0.3197278911564626,0.0,0.009496227828509968,0.00014466993165119566,0.9971409734254039,5.868363154081477e-05,0.01364667386793517,0.0001399575751413623,0.010158929560556775,0.00025029202364224235,0.014169226501748206,0.00017342689324922965
2,isothermal,uniquac,0.0,0.0,1.9408512084959593,0.09718546333764017,0.9976634917317185,0.0004466993289199257,5.381332879808398,0.49216348228228296,2.4156932675095217,0.23938638352567257,6.3431722321927575,0.8351642110096258,state_composition_interpolation,5,0.5727272727272728,0.0,0.4513888888888889,0.0,,,,,,,,,,,0.42727272727272725,0.0,0.009496227828509968,0.00014466993165119566,0.9971409734254039,5.868363154081477e-05,0.01364667386793517,0.0001399575751413623,0.010158929560556775,0.00025029202364224235,0.014169226501748206,0.00017342689324922965
3,isothermal,uniquac,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,1.0,0.0,0.23076923076923078,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,
,isobaric,uniquac,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.5054704595185996,0.0,0.4176470588235294,0.0,0.8414584528368305,0.028889681349804873,0.9916729591069134,0.002066430213651233,2.180297037840954,0.2676841575527813,1.040341138692622,0.04631740361764808,2.6726580641819346,0.32789592442674176,0.49452954048140046,0.0,0.026315623672833032,0.00028394104989509675,0.9494380600703721,0.0011160299819780374,0.058567425252938884,0.0006457719770476893,0.03147070278844037,0.00043506711958121735,0.06799203491332245,0.0005535226337861939
2,isobaric,uniquac,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.4765840220385675,0.0,0.4513888888888889,0.0,0.8265477357603673,0.03717807125904593,0.9917977550223155,0.002270477504843727,2.258260055675821,0.3098301762147045,1.0210410455319905,0.054230966656799294,2.7392523964825743,0.36350987556439424,0.5234159779614325,0.0,0.021403603106529223,0.00037809017136204465,0.9687397392059001,0.0008598674537059509,0.04678710359758034,0.000642934568547045,0.027120004206194724,0.000533745091414367,0.0584657057505007,0.0006947151387546483
3,isobaric,uniquac,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.6170212765957447,0.0,0.23076923076923078,0.0,0.9201539040737196,0.02000153601407647,0.9887365251294059,0.000363461268708932,1.6974431473788083,0.027329439472098874,1.188308519590797,0.020765407750907457,2.077110112410948,0.027741318251169312,0.3829787234042553,0.0,0.043598658998716816,0.0009188366878509135,0.7975372449278784,0.006026223692307697,0.08829494645402389,0.0013033591742887508,0.06482605858565697,0.0009239495230309979,0.1177163740112124,0.0010008802923907006
,isothermal,thermoformer_c1_fugacity,0.0,0.0,1.6127107457496979,0.20117406928110704,0.9952822800583864,0.0014175551495252709,5.373340905225254,0.832511955953594,2.4044297311490594,0.4243964401358983,7.761204919066863,1.841829375724123,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.009549895597236503,0.0010171693787004406,0.9973098285471901,0.0005309929900038079,0.014155336280266485,0.0013911251044628438,0.010458328977174504,0.0010060012950473725,0.01513303210188737,0.0015450548519353015
2,isothermal,thermoformer_c1_fugacity,0.0,0.0,1.9529997527561995,0.25371868761934163,0.9950892672779746,0.0014836126361410214,6.188224054816546,0.9640374457687562,2.6583273499325655,0.47803148390969485,8.322547011950984,1.9804360719059684,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.010154787635817878,0.0013328861398423531,0.9971074112055842,0.0007915668880040692,0.014917576717948933,0.0020481514699119702,0.01049629418544042,0.0011645439477176393,0.015143117796558548,0.001879496706976602
3,isothermal,thermoformer_c1_fugacity,0.0,0.0,0.6010407249195577,0.09090703996965233,0.9979317019403888,0.0005845879938216214,0.9172686216733321,0.1347998071882271,0.7540952090562699,0.1190295356520338,1.2158017533080563,0.19973325667199107,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.00835101047572386,0.000780170698415165,0.9969473085009266,0.00041013734568842096,0.012402630552545415,0.00086003831771456,0.010211555123446046,0.0007296206680292369,0.01489719475434896,0.0011464952380422276
,isobaric,thermoformer_c1_fugacity,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.0,0.0,1.0,0.0,0.5783107498803323,0.03577295388774672,0.9988969605187498,0.00015175552045082857,0.8567073433310506,0.05729672953246212,0.6209345750691335,0.043410305106833136,0.8980494766318816,0.0746733917238065,1.0,0.0,0.01661837460659247,0.0008895749285170423,0.984700350042553,0.0006711240481232281,0.03313290489003588,0.0007278472764275882,0.016267455717401368,0.0007700228297014435,0.031041815971353526,0.0007240324094072969
