dataset,family_1,family_2,family_pair,unique_systems,total_data_points,median_points_per_system,pair_rank
Binary,sulfur-containing,water,sulfur-containing + water,1,16,16.0,75
Binary,acid,sulfur-containing,acid + sulfur-containing,1,15,15.0,76
Binary,ester,halogenated,ester + halogenated,1,15,15.0,77
Binary,amine,other,amine + other,1,5,5.0,78
Binary,aromatic,water,aromatic + water,1,1,1.0,79
Ternary,alcohol,unresolved,alcohol + unresolved,48,1919,39.5,1
Ternary,alcohol,ester,alcohol + ester,25,1202,33.0,2
Ternary,alcohol,water,alcohol + water,24,1226,45.0,3
Ternary,unresolved,water,unresolved + water,19,745,36.0,4
Ternary,other,unresolved,other + unresolved,18,585,31.5,5
Ternary,alcohol,ketone,alcohol + ketone,16,857,48.5,6
Ternary,alcohol,other,alcohol + other,13,427,35.0,7
Ternary,alcohol,hydrocarbon,alcohol + hydrocarbon,12,843,59.5,8
Ternary,alcohol,ether,alcohol + ether,12,726,53.5,9
Ternary,ester,unresolved,ester + unresolved,12,399,33.0,10
Ternary,alcohol,alcohol,alcohol + alcohol,10,445,40.0,11
Ternary,ketone,unresolved,ketone + unresolved,8,285,41.0,12
Ternary,acid,water,acid + water,8,165,18.5,13
Ternary,hydrocarbon,ketone,hydrocarbon + ketone,7,447,64.0,14
Ternary,alcohol,aromatic,alcohol + aromatic,6,326,57.5,15
Ternary,amine,hydrocarbon,amine + hydrocarbon,6,142,20.5,16
Ternary,ether,hydrocarbon,ether + hydrocarbon,5,270,51.0,17
Ternary,aromatic,unresolved,aromatic + unresolved,5,249,55.0,18
Ternary,acid,unresolved,acid + unresolved,5,190,36.0,19
Ternary,ether,water,ether + water,4,335,89.5,20
Ternary,ether,ketone,ether + ketone,4,269,68.0,21
Ternary,hydrocarbon,unresolved,hydrocarbon + unresolved,4,112,20.5,22
Ternary,other,water,other + water,4,112,25.5,23
Ternary,acid,amide,acid + amide,4,98,15.0,24
Ternary,alcohol,sulfur-containing,alcohol + sulfur-containing,4,82,17.0,25
Ternary,amine,water,amine + water,4,79,19.5,26
Ternary,hydrocarbon,water,hydrocarbon + water,4,79,19.5,27
Ternary,ester,hydrocarbon,ester + hydrocarbon,3,364,120.0,28
Ternary,unresolved,unresolved,unresolved + unresolved,3,167,56.0,29
Ternary,other,sulfur-containing,other + sulfur-containing,3,90,31.0,30
Ternary,alcohol,amide,alcohol + amide,3,73,17.0,31
Ternary,amide,ester,amide + ester,3,73,17.0,32
Ternary,ester,water,ester + water,3,70,15.0,33
Ternary,ester,sulfur-containing,ester + sulfur-containing,3,65,16.0,34
Ternary,other,other,other + other,3,60,18.0,35
Ternary,amide,water,amide + water,3,45,15.0,36
Ternary,aromatic,water,aromatic + water,2,139,69.5,37
Ternary,aromatic,hydrocarbon,aromatic + hydrocarbon,2,80,40.0,38
Ternary,ester,ester,ester + ester,2,78,39.0,39
Ternary,ester,other,ester + other,2,65,32.5,40
Ternary,hydrocarbon,hydrocarbon,hydrocarbon + hydrocarbon,2,62,31.0,41
Ternary,aromatic,sulfur-containing,aromatic + sulfur-containing,2,39,19.5,42
Ternary,ester,ketone,ester + ketone,1,110,110.0,43
Ternary,acid,acid,acid + acid,1,54,54.0,44
Ternary,amide,unresolved,amide + unresolved,1,53,53.0,45
Ternary,halogenated,halogenated,halogenated + halogenated,1,44,44.0,46
Ternary,alcohol,halogenated,alcohol + halogenated,1,30,30.0,47
Ternary,halogenated,unresolved,halogenated + unresolved,1,30,30.0,48
Ternary,sulfur-containing,unresolved,sulfur-containing + unresolved,1,24,24.0,49
Ternary,amide,aromatic,amide + aromatic,1,21,21.0,50
Ternary,amide,sulfur-containing,amide + sulfur-containing,1,21,21.0,51
Ternary,amine,amine,amine + amine,1,21,21.0,52
Ternary,acid,ketone,acid + ketone,1,20,20.0,53
Ternary,halogenated,hydrocarbon,halogenated + hydrocarbon,1,20,20.0,54
Ternary,ketone,water,ketone + water,1,20,20.0,55
Ternary,acid,sulfur-containing,acid + sulfur-containing,1,17,17.0,56
Ternary,aromatic,ether,aromatic + ether,1,17,17.0,57
Ternary,aromatic,other,aromatic + other,1,17,17.0,58
Ternary,ether,other,ether + other,1,17,17.0,59
Ternary,sulfur-containing,water,sulfur-containing + water,1,17,17.0,60
Ternary,hydrocarbon,other,hydrocarbon + other,1,16,16.0,61
Ternary,alcohol,amine,alcohol + amine,1,9,9.0,62
Ternary,amine,other,amine + other,1,9,9.0,63
