model,training_scope,evaluation_scope,direction,component_count,status,valid_seeds,seed_count,state_metric,state_mae_mean,state_mae_sample_std,state_rmse_mean,state_rmse_sample_std,state_r2_mean,state_r2_sample_std,y_mae_mean,y_mae_sample_std,y_rmse_mean,y_rmse_sample_std,y_r2_mean,y_r2_sample_std,coverage_mean,coverage_sample_std,solver_failure_rate_mean,solver_failure_rate_sample_std,source
TeNNet-SAC official,external,joint,isobaric,2+3,evaluated,5,5,T_K,6.433326243832566,1.874033097957047,16.829497682489016,4.911874887386938,0.6175945687381665,0.15860147949065675,0.0720033528144378,0.017276018387923368,0.14783362960481522,0.030794013181617137,0.7661310293925214,0.08574950034831166,0.9556329656106198,0.02146139744348327,0.04436703438938017,0.0214613974434833,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac.on.external_fixed_to_joint_test/metrics_summary.csv
TeNNet-SAC official,external,joint,isothermal,2+3,evaluated,5,5,P_kPa,7.494485237603906,1.4237341197659792,19.532221386777962,6.031310964602318,0.9753274306095154,0.01627719402181186,0.02208863002038689,0.0038986285452273202,0.042115039344235015,0.010638145016698224,0.9822753790635745,0.009444153454671061,1.0,0.0,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac.on.external_fixed_to_joint_test/metrics_summary.csv
TeNNet-SAC official,external,joint,isobaric,3,evaluated,5,5,T_K,8.28581242536779,7.1556620878900565,11.540057148183099,6.173653736766263,-1.9277115629753339,5.813363363755037,0.13217178933008186,0.12254923143417912,0.18282035130175625,0.13363147993032667,0.46636506408587897,0.5738689482870838,0.8091760018995107,0.19646579425850086,0.19082399810048925,0.1964657942585008,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac.on.external_fixed_to_joint_test/metrics_summary.csv
TeNNet-SAC official,external,joint,isothermal,3,evaluated_partial_seeds,4,5,P_kPa,3.8331008441747727,1.9274879544185775,7.272898052275399,7.736304599029218,0.76006593753364,0.39622398683908244,0.020202403840961555,0.003577397673282462,0.03403690965463076,0.017420887516211857,0.9803006033460904,0.020829650950869586,0.8,0.4472135954999579,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/tennet_sac.on.external_fixed_to_joint_test/metrics_summary.csv
ThermoFormer,joint,binary,isobaric,2,evaluated,5,5,T_K,2.1721,0.4957,3.8770,0.9962,0.9798,0.0083,0.0273,0.0029,0.0456,0.0048,0.9783,0.0039,1.0,0.0,0.0,0.0,reports/phase_equilibrium/v1/VLE_results_table.csv
ThermoFormer,joint,binary,isothermal,2,evaluated,5,5,P_kPa,11.6388,3.8551,29.0346,9.8729,0.9484,0.0306,0.0273,0.0064,0.0489,0.0123,0.9768,0.0134,1.0,0.0,0.0,0.0,reports/phase_equilibrium/v1/VLE_results_table.csv
HANNA adapted,joint,joint,isobaric,2+3,evaluated,5,5,T_K,5.929323451866669,1.5129511115781509,20.645330118253476,9.066413804221977,0.3015284683578367,0.5812767222067589,0.06454242365721288,0.01664734625499485,0.14117491564648818,0.027206736612355488,0.7860498286059333,0.07792929450616769,0.9528942661859732,0.028075038921854343,0.04710573381402665,0.028075038921854343,results/benchmarks/vle/comparison/v1/machine_learning/hanna_joint_adapted.on.joint_train_joint_test/aggregate.csv
HANNA adapted,joint,joint,isothermal,2+3,evaluated,5,5,P_kPa,7.538618159969879,4.717033515351089,25.155831534512956,23.502852292973536,0.929145506817164,0.129644444248296,0.016097256162630892,0.005532812403970062,0.03676617367023058,0.018484337410865893,0.9841734905998548,0.018845553352064545,1.0,0.0,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/hanna_joint_adapted.on.joint_train_joint_test/aggregate.csv
HANNA adapted,joint,joint,isobaric,3,evaluated,5,5,T_K,11.040335317460329,11.067835910540579,18.135416166065294,12.7574251495362,-9.362857287590138,20.28396921882443,0.13782789686915908,0.13398841672859688,0.19980861074854253,0.1359502901992709,0.39306148645728683,0.6510505780151016,0.8167299126025999,0.18368480169990525,0.1832700873974001,0.18368480169990523,results/benchmarks/vle/comparison/v1/machine_learning/hanna_joint_adapted.on.joint_train_joint_test/aggregate.csv
HANNA adapted,joint,joint,isothermal,3,evaluated_partial_seeds,4,5,P_kPa,7.518971328833344,12.579991741969389,31.46483109244013,60.03871988723527,-7.812436749474078,17.608771430873816,0.016607837915033404,0.012649341013289447,0.03597128705925057,0.044881952026691416,0.9595714490018078,0.07545076474273445,0.8,0.4472135954999579,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/hanna_joint_adapted.on.joint_train_joint_test/aggregate.csv
