case_id,component_1_name,component_2_name,component_count,component_smiles_1,component_smiles_2,condition,direction,doi,nrtl_state_mean,nrtl_y_mean,protocol,sample_id,selection_category,system_id,target_pressure_kpa,target_temperature_k,thermoformer_state_mean,thermoformer_state_seed_0,thermoformer_state_seed_1,thermoformer_state_seed_2,thermoformer_state_seed_3,thermoformer_state_seed_4,thermoformer_state_std,thermoformer_y_mean,thermoformer_y_seed_0,thermoformer_y_seed_1,thermoformer_y_seed_2,thermoformer_y_seed_3,thermoformer_y_seed_4,thermoformer_y_std,uniquac_state_mean,uniquac_y_mean,wilson_state_mean,wilson_y_mean,x_1,y_true_1
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,415.4607271414419,0.998354284298368,state_temperature_low_extrapolation,state_7f685a93d5fd6414fc99ba2b,well_predicted,2c_4cc4055379eb0154120e,414.400050270208,nan,421.18541259765624,438.2213134765625,416.8819580078125,413.3370971679688,412.4563598632813,425.03033447265625,10.73915128293419,0.99820876121521,0.9982353448867798,0.9984374642372132,0.9981064200401306,0.9978917837142944,0.9983727931976318,0.00021844147232616566,415.5273080715506,0.998288323582014,415.4023632690278,0.9984232484977428,0.9708,0.9972
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,427.186208438977,1.0,state_temperature_low_extrapolation,state_8ba93a34eb1625f92b0cc434,well_predicted,2c_4cc4055379eb0154120e,426.799963750784,nan,432.9309326171875,450.4764404296875,428.6387939453125,424.8126220703125,423.70556640625,437.021240234375,11.113193319673409,1.0,1.0,1.0,1.0,1.0,1.0,0.0,427.186208438977,1.0,427.18620843897713,1.0,1.0,1.0
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,407.2949636881847,0.997163444984077,state_temperature_low_extrapolation,state_9b4d6d68cdf4785d23667952,well_predicted,2c_4cc4055379eb0154120e,405.7999576,nan,413.07740478515626,429.7418212890625,408.7318115234375,405.4215698242188,404.7936401367188,416.69818115234375,10.451429871230012,0.9969425439834595,0.9969815015792848,0.9973203539848328,0.996767520904541,0.9964423179626464,0.9972010254859924,0.00035068858286750436,407.4444502607384,0.9970626952984518,407.1665489582752,0.997272941233776,0.9503,0.9953
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,329.1960407937688,0.9833843741520844,state_temperature_low_extrapolation,state_a51234b4efdb05d86508bbb4,well_predicted,2c_4cc4055379eb0154120e,331.80004385344,nan,337.22008056640624,350.409423828125,331.08697509765625,331.472900390625,335.14068603515625,337.99041748046875,7.898119062740662,0.9834056735038758,0.983501434326172,0.9847450256347656,0.98247492313385,0.9822759032249452,0.984031081199646,0.001041254794225782,330.87760910820583,0.9833643655453214,327.5794019516757,0.9835227364774748,0.7484,0.9779
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,235.7554899055096,0.9569577311325222,state_temperature_low_extrapolation,state_a9869d861f0bd2e81f12e707,well_predicted,2c_4cc4055379eb0154120e,246.699976391936,nan,245.55985107421876,256.3710327148437,236.13128662109372,242.19650268554688,249.01638793945312,244.08404541015625,7.6029145391044555,0.9591063022613525,0.9600347876548768,0.960291624069214,0.9570997357368468,0.9585249423980712,0.959580421447754,0.0013092125901658753,238.31731582351728,0.9576692989718124,232.54065548449208,0.9561942371567278,0.5005,0.9524
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,114.71147568804972,0.865500893516534,state_temperature_low_extrapolation,state_b8d3efc729e2cf053d792b35,well_predicted,2c_4cc4055379eb0154120e,124.500026942336,nan,120.21967468261718,126.2750244140625,111.88949584960938,119.56427001953124,123.29002380371094,120.07955932617188,5.3836644367687425,0.8735555052757263,0.878457248210907,0.8708890676498413,0.8691219687461853,0.8736677169799805,0.8756415247917175,0.003713397651133368,114.95108185402287,0.8661370000566461,113.7253829418063,0.8637971060611743,0.1993,0.8708
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,216.3066922701856,0.9488973050678716,state_temperature_low_extrapolation,state_bebc835dad74a36cbe36f8e3,well_predicted,2c_4cc4055379eb0154120e,228.200031285888,nan,225.9027893066406,236.29949951171875,216.06814575195312,223.02691650390625,229.78713989257807,224.33224487304688,7.593372613766628,0.951699161529541,0.9530217051506042,0.9526278376579284,0.9494243264198304,0.9512673020362854,0.9521546363830566,0.0014300695543856933,218.6962218624214,0.9497675385561748,213.08722906720655,0.9478504071088636,0.4496,0.9451
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,47.060148159676245,0.6167488617556366,state_temperature_low_extrapolation,state_c80726d002108e124a79dd3b,well_predicted,2c_4cc4055379eb0154120e,50.100012769408,nan,48.62276153564453,50.23603820800781,44.945091247558594,48.86979675292969,50.03680419921875,49.02607727050781,2.1419107710428293,0.6341846227645874,0.6424838304519653,0.6230246424674988,0.6257634162902832,0.6353108882904053,0.6443403363227844,0.009601376449021447,46.63576153587675,0.6133617610601996,47.529765967363865,0.6203516984780482,0.0542,0.6394
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,387.4334000948089,0.9940984578842588,state_temperature_low_extrapolation,state_e7f8001be3f51a72a7a31a5e,well_predicted,2c_4cc4055379eb0154120e,386.099977859584,nan,393.560498046875,409.292236328125,388.98870849609375,386.38031005859375,386.6228637695313,396.5183715820313,9.705974111463386,0.9937795996665955,0.9938336610794068,0.9944837093353271,0.9934225678443908,0.9929465055465698,0.9942115545272828,0.0006137580139020898,387.8828282100421,0.99394989044075,387.04600907432166,0.9942791433838164,0.8999,0.9909
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,92.77849192000323,0.824327341623348,state_temperature_low_extrapolation,state_fd646989de547378e32694ad,well_predicted,2c_4cc4055379eb0154120e,100.699984418816,nan,97.03930358886718,101.66329956054688,89.90739440917969,96.73851013183594,99.60006713867188,97.28724670410156,4.442829327793666,0.8344383120536805,0.8404738306999207,0.8300002813339233,0.8291405439376831,0.83465576171875,0.837921142578125,0.00490834345345608,92.60954502072616,0.8243004246742307,92.47416696299936,0.8232747221980083,0.1501,0.8335
