best_baseline,case_id,component_1,component_2,component_smiles_1,component_smiles_2,condition,direction,doi,nrtl_curve_score,nrtl_state_mae,nrtl_state_rmse,nrtl_y_mae,nrtl_y_rmse,points,protocol,selection_category,state_scale,system_id,thermoformer_curve_score,thermoformer_minus_best_baseline_score,thermoformer_state_mae,thermoformer_state_rmse,thermoformer_y_mae,thermoformer_y_rmse,uniquac_curve_score,uniquac_state_mae,uniquac_state_rmse,uniquac_y_mae,uniquac_y_rmse,wilson_curve_score,wilson_state_mae,wilson_state_rmse,wilson_y_mae,wilson_y_rmse
wilson,state_pressure_low_extrapolation:2c_ca2ff513d4ae36f2f8e1:101.0,1-propanol,water,CCCO,O,101.0,isobaric,10.1016/j.fluid.2017.05.012,0.15690313445285844,1.6316936829348911,1.8487743551553493,0.03380712444253791,0.040676294983832094,16,state_pressure_low_extrapolation,,12.199999999999989,2c_ca2ff513d4ae36f2f8e1,0.11219237730776221,0.0023869682474396137,1.295532989501961,1.344796819785558,0.01743054937124252,0.020895992830943896,0.11925522035460354,1.2359747388229003,1.3939552341253616,0.025242776942448693,0.03415807406760457,0.1098054090603226,1.2098981804708586,1.323214152725864,0.012688634777399406,0.017135284727775695
wilson,state_pressure_low_extrapolation:2c_d66c7a74cea5d8732e08:100.0,isopropanol,water,CC(C)O,O,100.0,isobaric,10.1016/j.jct.2017.02.005,0.03431656042018722,0.4480417934315087,0.6396293224091912,0.009462929182468651,0.011109601585979033,31,state_pressure_low_extrapolation,,19.69999999999999,2c_d66c7a74cea5d8732e08,0.04212249889618886,0.018318539842047187,0.6048786384828561,0.7790782312861527,0.01328715619733257,0.014502770228788426,0.02819825751133819,0.3731320283267535,0.5328543791667864,0.006992662596889014,0.007970151502592367,0.023803959054141673,0.3574864792227114,0.4305214619528722,0.007185798880101813,0.009435906846511551
uniquac,state_pressure_low_extrapolation:2c_dc191206ee879c89c4e5:40.0,"1,4-dioxane",2-methyl-1-propanol,C1COCCO1,CC(C)CO,40.0,isobaric,10.1016/j.jct.2003.09.001,0.03234566272281408,0.26914028030153336,0.3013673899205496,0.011789259085565381,0.012966437077995562,13,state_pressure_low_extrapolation,,10.170000000000073,2c_dc191206ee879c89c4e5,0.05840805480710383,0.031215420159511374,0.39429593599760876,0.5649675054918497,0.014900005807326413,0.018039848056253086,0.027192634647592456,0.24419512420067016,0.25757528264212554,0.008762346139822068,0.009898685818955939,0.04396060026245114,0.3222433822887926,0.4108687447008378,0.015706366522301337,0.017331141301977788
wilson,state_pressure_low_extrapolation:2c_f4a55bc5fa0e7d69faf8:50.0,tetrahydropyran,2-butanol,C1CCOCC1,CCC(C)O,50.0,isobaric,10.1016/j.fluid.2012.12.021,0.0268102101326095,0.32507094699532435,0.3953437146831088,0.007027392113483527,0.008053459880836054,21,state_pressure_low_extrapolation,well_predicted,15.460000000000036,2c_f4a55bc5fa0e7d69faf8,0.02060117505605264,-0.004739514822565755,0.21999889555432142,0.270952373398129,0.00897129655452003,0.010828056169233735,0.02678637354525589,0.32424579690659866,0.3985164988058679,0.006380794066241328,0.00728302664860861,0.025340689878618396,0.3053240762663152,0.3744191514603221,0.006526170348366278,0.007457294751659739
wilson,state_temperature_high_extrapolation:2c_23001626ba9c10a2709a:308.15,2-chloro-2-methylpropane,diisopropyl ether,CC(C)(C)Cl,CC(C)OC(C)C,308.15,isothermal,10.1016/j.fluid.2011.06.001,0.013335367930482563,0.2701221820867042,0.3103293448364072,0.005651983537460419,0.006204462362764611,11,state_temperature_high_extrapolation,,26.289971068288,2c_23001626ba9c10a2709a,0.07953868900176568,0.06680298903109964,1.9213207216459032,2.028314060265618,0.013433050120418734,0.019339839461937982,0.013439958093883658,0.2694679920807669,0.31023163152036026,0.0058309109287138896,0.006433002481608655,0.012735699970666033,0.25273933222239237,0.29138500322347316,0.005692997649043097,0.0062732758333482585
uniquac,state_temperature_high_extrapolation:2c_5018f9e15dae7c08710f:308.15,1-chloro-2-methylpropane,diisopropyl ether,CC(C)CCl,CC(C)OC(C)C,308.15,isothermal,10.1016/j.fluid.2011.06.001,0.05855008207158673,0.2601949746263813,0.2912311406741387,0.005455644616081143,0.005957266038640842,10,state_temperature_high_extrapolation,,5.0,2c_5018f9e15dae7c08710f,0.10203960305471263,0.04411411405358438,0.4436197564606289,0.5055860986097048,0.011674494659900688,0.0136889907322648,0.05792548900112825,0.25771702623891884,0.2881484446648169,0.005400214897071256,0.005846471543564274,0.058496647329843644,0.25978907777942306,0.29095048578819654,0.005446202943023172,0.005980831181081856
uniquac,state_temperature_high_extrapolation:2c_94ed5d0a73a3c26e5ef5:393.15,ethanol,water,CCO,O,393.15,isothermal,10.1016/j.fluid.2019.03.019,0.0321823744375252,5.23107804936925,6.364577336395425,0.014221087122797094,0.017016245986579217,16,state_temperature_high_extrapolation,,232.999903178624,2c_94ed5d0a73a3c26e5ef5,0.10116192015599537,0.0756932463614603,18.54434957979526,21.40352314797468,0.03371477879583835,0.04237162499117122,0.025468673794535067,4.190400847837422,5.052329921059202,0.010751279200575715,0.013359076695428828,0.02571802522281988,3.29528916092379,4.981563742855997,0.010962106307900786,0.01429362389956525
nrtl,state_temperature_high_extrapolation:2c_c830dc760c5163d2d27d:364.15,"2,2,4-trimethylpentane",2-methyl-1-propanol,CC(C)CC(C)(C)C,CC(C)CO,364.15,isothermal,10.1016/j.fluid.2011.05.011,0.036354157518743095,1.2024330830310308,1.5223173550254374,0.014110904304904906,0.017360373008876915,13,state_temperature_high_extrapolation,,47.659946790272,2c_c830dc760c5163d2d27d,0.03183984460274803,-0.004514312915995064,1.2145027450903056,1.3242515645900939,0.012356671766134402,0.01554819044824048,0.0423759141383353,1.3583427811943811,1.7774631740007218,0.015799086108639972,0.02012023439591553,0.04923970634031632,1.8431799644017226,2.1534426126411614,0.016574302720983067,0.019570414735074978
uniquac,state_temperature_high_extrapolation:2c_c879fc0732268fc652fa:308.15,diisopropyl ether,1-chlorobutane,CC(C)OC(C)C,CCCCCl,308.15,isothermal,10.1016/j.fluid.2011.06.001,0.06988748288933101,0.524376947313188,0.586700392082267,0.008026680011657988,0.00897606261622858,11,state_temperature_high_extrapolation,,8.465037111424003,2c_c879fc0732268fc652fa,0.08553459610045472,0.0171964433167041,0.6536696801093449,0.7157745343074122,0.011025637291236373,0.01289778956804615,0.06833815278375062,0.5089299214946753,0.5734659830234322,0.00794835024851349,0.008982504458526388,0.06994939782672441,0.526094849940998,0.5872985684883,0.00798081724889717,0.008912204795872911
uniquac,state_temperature_high_extrapolation:2c_ca2ff513d4ae36f2f8e1:403.2,1-propanol,water,CCCO,O,403.2,isothermal,10.1016/j.jct.2012.12.019,0.1667552679841503,20.605239185711355,22.581863419757234,0.026047658385353722,0.03269721717882664,13,state_temperature_high_extrapolation,high_error,138.09997505728,2c_ca2ff513d4ae36f2f8e1,0.3232772761211289,0.18306269302038172,38.471382516061006,44.019166089873664,0.04398960866973949,0.05392181773879663,0.14021458310074716,17.12734178853108,19.048571241825428,0.019710698680876604,0.02519051660432722,0.1787568635874975,21.44379006268214,24.468351864762848,0.019381752275566023,0.02370192974936269
