model,T,S,status,E,R,xE,xR,total_balance_error,benzene_recovery,heptane_retention,solvent_to_raffinate,E_benzene_solvent_free
UNIFAC-LLE,298.15,1.1,valid,1.2827644897840915,0.8172355102159086,"[0.07304190076225842, 0.80425899865715, 0.12269910058059155]","[0.78268475705392, 0.08360517265732273, 0.13371007028875717]",4.440892098500626e-16,0.5902276843246095,0.8722333319579657,0.06832511593329627,0.6268441447567649
Experiment-interpolation,298.15,1.2,valid,1.392582353213495,0.8074176467865046,"[0.07274890269555494, 0.812978949898411, 0.11427214740603413]","[0.7827727047325437, 0.08404555078467127, 0.13318174448278514]",4.440892098500626e-16,0.5967501597804553,0.8618515843961698,0.06785986083743495,0.6110122221213172
ThermoFormer,298.15,1.2,valid,1.384693327362658,0.8153066726373418,"[0.07347966438638248, 0.8189961465786322, 0.10752418903498528]","[0.7746613066683423, 0.08087938307131975, 0.14445931026033795]",3.3306690738754696e-16,0.5583301015755942,0.8612543623099932,0.06594150069683866,0.5940436460469957
UNIFAC-LLE,298.15,1.2,valid,1.3987167111827117,0.8012832888172882,"[0.07177082547093117, 0.8109242911683889, 0.11730488336067994]","[0.7899157379233586, 0.08205168303936836, 0.12803257903727303]",7.216449660063518e-16,0.6152861274747043,0.8631085641433144,0.06574664243877879,0.6204122363764373
Experiment-interpolation,298.15,1.3,valid,1.5087602424806628,0.7912397575193371,"[0.0722470132783673, 0.8180107130297024, 0.10974227369193032]","[0.7890527569270966, 0.08318333050386173, 0.12776391256904165]",2.7755575615628914e-16,0.6209054229968114,0.8513589709922187,0.06581795825752643,0.6030150209327503
ThermoFormer,298.15,1.3,valid,1.500188197382845,0.7998118026171549,"[0.07297426936122259, 0.8240348421714584, 0.10299088846731896]","[0.7800062385721158, 0.07975958260855825, 0.14023417881932598]",2.220446049250313e-16,0.5793964324374191,0.850715721443169,0.06379265554214286,0.5852913709637456
UNIFAC-LLE,298.15,1.3,valid,1.5135471366601283,0.7864528633398715,"[0.07063261257449426, 0.8169995881267297, 0.11236779929877606]","[0.7965226830710488, 0.08065659837374274, 0.12282071855520837]",2.220446049250313e-16,0.6377773533054846,0.8542193792950682,0.063432612738284,0.6140303081754369
Experiment-interpolation,298.15,1.4,valid,1.6240777718381978,0.775922228161802,"[0.07178256811325204, 0.8226670735312424, 0.10555035835550558]","[0.7948642759162309, 0.08238543752789451, 0.12275028655587458]",1.1102230246251565e-16,0.6428324655552479,0.8410266273479171,0.06392469225472885,0.5952101533389027
ThermoFormer,298.15,1.4,valid,1.6150294959865037,0.7849705040134962,"[0.07263339206953917, 0.8285247974194472, 0.09884181051101354]","[0.7847788669736864, 0.07886667549267035, 0.13635445753364334]",2.220446049250313e-16,0.5986216477949842,0.8400385401101934,0.06190801401135029,0.576420432946165
UNIFAC-LLE,298.15,1.4,valid,1.6274303864165887,0.7725696135834114,"[0.06960740109189892, 0.8225608299044641, 0.10783176900363699]","[0.802584159116614, 0.07939674258338547, 0.1180190983000004]",5.551115123125783e-16,0.6580826156158976,0.8455256368321222,0.061339510737427695,0.607711188829269
