source,interpolation,stage_from_top,x_liquid_heptane,y_vapor_heptane,section,equilibrium_interpolation_residual
UNIFAC,pchip,1,0.9743420682433939,0.995,rectifying,1.1102230246251565e-16
UNIFAC,pchip,2,0.9276650455516052,0.9850564738925154,rectifying,0.0
UNIFAC,pchip,3,0.8369236895530675,0.9625888716550829,rectifying,1.1102230246251565e-16
UNIFAC,pchip,4,0.7021752596106583,0.9189112637981648,rectifying,4.3298697960381105e-15
UNIFAC,pchip,5,0.5598470263632414,0.8540512116466986,rectifying,0.0
UNIFAC,pchip,6,0.4519743427837218,0.7855426833098639,stripping,1.1102230246251565e-16
UNIFAC,pchip,7,0.3712162692856613,0.7177695517497337,stripping,0.0
UNIFAC,pchip,8,0.2570795279217994,0.5876377730645369,stripping,2.708944180085382e-14
UNIFAC,pchip,9,0.1472411230016649,0.403720345076754,stripping,5.551115123125783e-17
UNIFAC,pchip,10,0.07215437889725462,0.2267291616436172,stripping,0.0
UNIFAC,pchip,11,0.030900763528015816,0.10573603807409836,stripping,0.0
UNIFAC,pchip,12,0.01105458791889305,0.039260872029889225,stripping,7.7021722333370235e-16
