task,protocol,subset,seed,direction,target,metric,value
VLE,vle_binary_state_composition_interpolation,all,1,isothermal,y,r2,0.9964525373198402
VLE,vle_binary_state_composition_interpolation,2,1,isobaric,T,mae,0.6539926113171536
VLE,vle_binary_state_composition_interpolation,2,1,isobaric,T,rmse,1.0354487871333222
VLE,vle_binary_state_composition_interpolation,2,1,isobaric,T,r2,0.9986695891768045
VLE,vle_binary_state_composition_interpolation,2,1,isobaric,y,mae,0.014064322420624744
VLE,vle_binary_state_composition_interpolation,2,1,isobaric,y,rmse,0.02355947405758038
VLE,vle_binary_state_composition_interpolation,2,1,isobaric,y,r2,0.9922682404954203
VLE,vle_binary_state_composition_interpolation,2,1,isothermal,P,mae,2.0790235403772868
VLE,vle_binary_state_composition_interpolation,2,1,isothermal,P,rmse,7.721229964472563
VLE,vle_binary_state_composition_interpolation,2,1,isothermal,P,r2,0.9933664947112167
VLE,vle_binary_state_composition_interpolation,2,1,isothermal,y,mae,0.008922773945777921
VLE,vle_binary_state_composition_interpolation,2,1,isothermal,y,rmse,0.016115225069249953
VLE,vle_binary_state_composition_interpolation,2,1,isothermal,y,r2,0.9964525373198402
VLE,vle_binary_state_composition_interpolation,all,2,isobaric,T,mae,0.6512461218673208
VLE,vle_binary_state_composition_interpolation,all,2,isobaric,T,rmse,1.0647215751161274
VLE,vle_binary_state_composition_interpolation,all,2,isobaric,T,r2,0.9985933027743973
VLE,vle_binary_state_composition_interpolation,all,2,isobaric,y,mae,0.013572136364675712
VLE,vle_binary_state_composition_interpolation,all,2,isobaric,y,rmse,0.02161658439991154
VLE,vle_binary_state_composition_interpolation,all,2,isobaric,y,r2,0.9934908946502354
VLE,vle_binary_state_composition_interpolation,all,2,isothermal,P,mae,2.254216410978818
VLE,vle_binary_state_composition_interpolation,all,2,isothermal,P,rmse,7.725810609321032
VLE,vle_binary_state_composition_interpolation,all,2,isothermal,P,r2,0.9933586216792814
VLE,vle_binary_state_composition_interpolation,all,2,isothermal,y,mae,0.009139644863782664
VLE,vle_binary_state_composition_interpolation,all,2,isothermal,y,rmse,0.016902620124415436
VLE,vle_binary_state_composition_interpolation,all,2,isothermal,y,r2,0.9960974080285394
VLE,vle_binary_state_composition_interpolation,2,2,isobaric,T,mae,0.6512461218673208
VLE,vle_binary_state_composition_interpolation,2,2,isobaric,T,rmse,1.0647215751161274
VLE,vle_binary_state_composition_interpolation,2,2,isobaric,T,r2,0.9985933027743973
VLE,vle_binary_state_composition_interpolation,2,2,isobaric,y,mae,0.013572136364675712
VLE,vle_binary_state_composition_interpolation,2,2,isobaric,y,rmse,0.02161658439991154
VLE,vle_binary_state_composition_interpolation,2,2,isobaric,y,r2,0.9934908946502354
VLE,vle_binary_state_composition_interpolation,2,2,isothermal,P,mae,2.254216410978818
VLE,vle_binary_state_composition_interpolation,2,2,isothermal,P,rmse,7.725810609321032
VLE,vle_binary_state_composition_interpolation,2,2,isothermal,P,r2,0.9933586216792814
VLE,vle_binary_state_composition_interpolation,2,2,isothermal,y,mae,0.009139644863782664
VLE,vle_binary_state_composition_interpolation,2,2,isothermal,y,rmse,0.016902620124415436
VLE,vle_binary_state_composition_interpolation,2,2,isothermal,y,r2,0.9960974080285394
VLE,vle_binary_state_composition_interpolation,all,3,isobaric,T,mae,0.6103223924958304
VLE,vle_binary_state_composition_interpolation,all,3,isobaric,T,rmse,1.0686417295999346
VLE,vle_binary_state_composition_interpolation,all,3,isobaric,T,r2,0.9985829251840185
VLE,vle_binary_state_composition_interpolation,all,3,isobaric,y,mae,0.01340065650165445
VLE,vle_binary_state_composition_interpolation,all,3,isobaric,y,rmse,0.02177425427289795
VLE,vle_binary_state_composition_interpolation,all,3,isobaric,y,r2,0.9933955944272038
VLE,vle_binary_state_composition_interpolation,all,3,isothermal,P,mae,2.5021898856659637
VLE,vle_binary_state_composition_interpolation,all,3,isothermal,P,rmse,9.61527347721447
VLE,vle_binary_state_composition_interpolation,all,3,isothermal,P,r2,0.9897128899287192
VLE,vle_binary_state_composition_interpolation,all,3,isothermal,y,mae,0.008226132113486528
VLE,vle_binary_state_composition_interpolation,all,3,isothermal,y,rmse,0.013749604062643039
VLE,vle_binary_state_composition_interpolation,all,3,isothermal,y,r2,0.9974175883684747
VLE,vle_binary_state_composition_interpolation,2,3,isobaric,T,mae,0.6103223924958304
VLE,vle_binary_state_composition_interpolation,2,3,isobaric,T,rmse,1.0686417295999346
VLE,vle_binary_state_composition_interpolation,2,3,isobaric,T,r2,0.9985829251840185
VLE,vle_binary_state_composition_interpolation,2,3,isobaric,y,mae,0.01340065650165445
VLE,vle_binary_state_composition_interpolation,2,3,isobaric,y,rmse,0.02177425427289795
VLE,vle_binary_state_composition_interpolation,2,3,isobaric,y,r2,0.9933955944272038
VLE,vle_binary_state_composition_interpolation,2,3,isothermal,P,mae,2.5021898856659637
VLE,vle_binary_state_composition_interpolation,2,3,isothermal,P,rmse,9.61527347721447
VLE,vle_binary_state_composition_interpolation,2,3,isothermal,P,r2,0.9897128899287192
VLE,vle_binary_state_composition_interpolation,2,3,isothermal,y,mae,0.008226132113486528
VLE,vle_binary_state_composition_interpolation,2,3,isothermal,y,rmse,0.013749604062643039
VLE,vle_binary_state_composition_interpolation,2,3,isothermal,y,r2,0.9974175883684747
VLE,vle_binary_state_composition_interpolation,all,4,isobaric,T,mae,0.6981066037295913
VLE,vle_binary_state_composition_interpolation,all,4,isobaric,T,rmse,1.164590530100478
VLE,vle_binary_state_composition_interpolation,all,4,isobaric,T,r2,0.9983170352082976
VLE,vle_binary_state_composition_interpolation,all,4,isobaric,y,mae,0.01483487968397309
VLE,vle_binary_state_composition_interpolation,all,4,isobaric,y,rmse,0.025610944191160695
VLE,vle_binary_state_composition_interpolation,all,4,isobaric,y,r2,0.9908631113050832
VLE,vle_binary_state_composition_interpolation,all,4,isothermal,P,mae,2.5754385435429596
VLE,vle_binary_state_composition_interpolation,all,4,isothermal,P,rmse,9.322102602618564
VLE,vle_binary_state_composition_interpolation,all,4,isothermal,P,r2,0.9903306370517625
VLE,vle_binary_state_composition_interpolation,all,4,isothermal,y,mae,0.009541287534300256
VLE,vle_binary_state_composition_interpolation,all,4,isothermal,y,rmse,0.01617112147611415
VLE,vle_binary_state_composition_interpolation,all,4,isothermal,y,r2,0.9964278855627329
VLE,vle_binary_state_composition_interpolation,2,4,isobaric,T,mae,0.6981066037295913
VLE,vle_binary_state_composition_interpolation,2,4,isobaric,T,rmse,1.164590530100478
VLE,vle_binary_state_composition_interpolation,2,4,isobaric,T,r2,0.9983170352082976
VLE,vle_binary_state_composition_interpolation,2,4,isobaric,y,mae,0.01483487968397309
VLE,vle_binary_state_composition_interpolation,2,4,isobaric,y,rmse,0.025610944191160695
VLE,vle_binary_state_composition_interpolation,2,4,isobaric,y,r2,0.9908631113050832
VLE,vle_binary_state_composition_interpolation,2,4,isothermal,P,mae,2.5754385435429596
VLE,vle_binary_state_composition_interpolation,2,4,isothermal,P,rmse,9.322102602618564
VLE,vle_binary_state_composition_interpolation,2,4,isothermal,P,r2,0.9903306370517625
VLE,vle_binary_state_composition_interpolation,2,4,isothermal,y,mae,0.009541287534300256
VLE,vle_binary_state_composition_interpolation,2,4,isothermal,y,rmse,0.01617112147611415
VLE,vle_binary_state_composition_interpolation,2,4,isothermal,y,r2,0.9964278855627329
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isobaric,T,mae,1.0668060574550866
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isobaric,T,rmse,1.4618898596146015
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isobaric,T,r2,0.9949629139222854
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isobaric,y,mae,0.016532162719910686
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isobaric,y,rmse,0.025354785813790134
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isobaric,y,r2,0.9915067315192369
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isothermal,P,mae,3.6644366513570157
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isothermal,P,rmse,8.976930559877596
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isothermal,P,r2,0.9961120280822112
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isothermal,y,mae,0.0075641331186401635
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isothermal,y,rmse,0.012533502769705959
VLE,vle_binary_state_pressure_high_extrapolation,all,0,isothermal,y,r2,0.9988496954123965
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isobaric,T,mae,1.0668060574550866
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isobaric,T,rmse,1.4618898596146015
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isobaric,T,r2,0.9949629139222854
