seed,sample_id,system_id,component_count,representative_categories,chemical_family,component_i,component_j,smiles_i,smiles_j,name_i,name_j,temperature_k,pressure_kpa,x_i,x_j,learned_pair_potential,absolute_pair_potential,normalized_absolute_pair_weight,composition_weighted_pair_contribution,component_i_mask_delta_log_gamma,component_j_mask_delta_log_gamma,component_i_mask_delta_y,component_j_mask_delta_y,component_i_mask_delta_ge_rt,component_j_mask_delta_ge_rt,mean_pair_mask_delta_log_gamma,mean_pair_mask_delta_y,mean_abs_log_gamma,excess_gibbs_rt,mean_abs_log_relative_volatility_shift,vle_deviation_from_ideality,relative_volatility_ij,evaluation_partition,mask_baseline
4,state_25ad3af3bf56db151dcd6f25,2c_908dceb4b86ca8f62d00,2,,alkane/cycloalkane + halogenated,1,2,CCCCCl,CCCCCCC,1-氯丁烷,正庚烷,352.26,101.299935074816,0.9118,0.08819999999999995,1.3664299249649048,1.3664299249649048,1.0,0.10988933305242055,0.1724466234445572,0.014469124376773834,0.1359526515007019,0.0052292123436927795,0.026317216455936432,0.004425220191478729,0.09345787391066551,0.07059093192219734,0.5427731871604919,0.10988933593034744,1.0511993169784546,0.08695707470178604,0.5874930024147034,test,mean training-set Uni-Mol token
4,state_25c8266c1ef5fedd6f7084d8,2c_1490252da7453cbbebe4,2,,alcohol/polyol + alkane/cycloalkane,1,2,CC(C)O,CC(C)CC(C)(C)C,2-丙醇,异辛烷,330.0,32.60998460096,0.0142,0.9858,1.3941650390625,1.3941650390625,1.0,0.01951602411621094,0.3263356685638428,0.18098857998847961,0.05438893288373947,0.013024423271417618,0.009568016044795513,0.005231741815805435,0.2536621242761612,0.033706678077578545,0.6722713112831116,0.019516024738550186,1.3436707258224487,0.056536976248025894,5.888205051422119,test,mean training-set Uni-Mol token
4,state_25ce4615b32ceb9fc3ed12ee,2c_24d5a2469126ba0267b1,2,,alkane/cycloalkane + ether/carbonyl,1,2,CC(C)CC(C)(C)C,CC(C)C(=O)C(C)C,异辛烷,"2,4-二甲基-3-戊酮",330.0,23.019973348351996,0.7236,0.2764,-0.6160974502563477,0.6160974502563477,1.0,-0.1232213629875183,0.02841663360595703,0.26101744174957275,0.010545596480369568,0.17966489493846893,0.023432865738868713,0.20033913850784302,0.1447170376777649,0.09510524570941925,0.1391826570034027,-0.12322135269641876,0.07138335704803467,0.006823696196079254,3.3023054599761963,test,mean training-set Uni-Mol token
4,state_25fd670758fe42e361b66c9d,2c_7f857c0dd49ce52279af,2,,alkane/cycloalkane + sulfur-containing,1,2,CCSCC,C1CCCCC1,3-硫杂戊烷,环己烷,353.15,79.879963464832,0.814,0.18600000000000005,0.8050528764724731,0.8050528764724731,1.0,0.12188822570943836,0.2153881937265396,0.11071039736270905,0.16351453959941864,0.1660885512828827,0.08768829703330994,0.049966000020504,0.16304929554462433,0.16480154544115067,0.26995885372161865,0.12188823521137238,0.47156259417533875,0.099196657538414,0.4167960286140442,test,mean training-set Uni-Mol token
4,state_2606719448d14f51a147a7c6,2c_94ed5d0a73a3c26e5ef5,2,,alcohol/polyol + water,1,2,CCO,O,乙醇,水,358.51,101.319933430016,0.125,0.875,2.250257968902588,2.250257968902588,1.0,0.24612196534872055,0.02814526855945587,0.026839688420295715,0.15797464549541473,0.009601905941963196,0.0064483582973480225,0.011731445789337158,0.027492478489875793,0.08378827571868896,0.8438841700553894,0.24612197279930115,1.594032645225525,0.36224693059921265,9.84294605255127,test,mean training-set Uni-Mol token
4,state_261e084bdc425502544848c9,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,2,CC(C)CO,CC(C)CC(C)(C)C,2-甲基-1-丙醇,异辛烷,364.15,50.67996507020799,0.1332,0.0074,1.738808035850525,1.738808035850525,0.44485600761729555,0.0017139083047771455,0.17114126682281494,0.2364358901977539,0.005698850378394127,0.01944580487906933,0.07690581679344177,0.022284485399723053,0.20378857851028442,0.012572327628731728,0.6028160452842712,0.1337929517030716,0.6539614200592041,0.09279900789260864,0.5248889923095703,test,mean training-set Uni-Mol token
4,state_261e084bdc425502544848c9,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,3,CC(C)CO,CC(C)CC(=O)C,2-甲基-1-丙醇,4-甲基-2-戊酮,364.15,50.67996507020799,0.1332,0.8593999999999999,1.0940407514572144,1.0940407514572144,0.27989898299832805,0.12523712042407037,0.17114126682281494,0.07970625162124634,0.005698850378394127,0.0667656660079956,0.07690581679344177,0.020304366946220398,0.12542375922203064,0.036232258193194866,0.6028160452842712,0.1337929517030716,0.6539614200592041,0.09279900789260864,2.693777322769165,test,mean training-set Uni-Mol token
4,state_261e084bdc425502544848c9,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,2,3,CC(C)CC(C)(C)C,CC(C)CC(=O)C,异辛烷,4-甲基-2-戊酮,364.15,50.67996507020799,0.0074,0.8593999999999999,1.0758497714996338,1.0758497714996338,0.27524500938437635,0.0068419311728382115,0.2364358901977539,0.07970625162124634,0.01944580487906933,0.0667656660079956,0.022284485399723053,0.020304366946220398,0.15807107090950012,0.04310573544353247,0.6028160452842712,0.1337929517030716,0.6539614200592041,0.09279900789260864,5.132089138031006,test,mean training-set Uni-Mol token
4,state_2630ea7605fc87f8a92fc66c,2c_7c57a80413db66443080,2,,alcohol/polyol + carboxylic acid/ester,1,2,CCCCCO,CCC(=O)O,1-戊醇,丙酸,409.4,91.299957540608,0.9193,0.0807,2.2048966884613037,2.2048966884613037,1.0,0.16357579512418985,0.12700414657592773,0.31097444891929626,0.2481154501438141,0.08394210040569305,0.010754168033599854,0.056429989635944366,0.218989297747612,0.16602877527475357,0.9340662360191345,0.16357581317424774,1.8375636339187622,0.2976449728012085,0.1372782438993454,test,mean training-set Uni-Mol token
4,state_26578cdb824ffaa657e7502d,2c_b94de72ffbeb53d6294b,2,,aromatic/unsaturated hydrocarbon + sulfoxide/sulfone,1,2,CC1=CC=CC=C1,CS(=O)C,甲苯,二甲基亚砜,411.12,101.299935074816,0.2195,0.7805,1.1866166591644287,1.1866166591644287,1.0,0.20329086939388513,0.011279970407485962,0.3025455176830292,0.04519222676753998,0.5759889483451843,0.002480119466781616,0.1631743609905243,0.15691274404525757,0.31059058755636215,0.36635127663612366,0.2032908797264099,0.5813204646110535,0.11869310587644577,11.785139083862305,test,mean training-set Uni-Mol token
