record_type,seed,sample_id,system_id,chemical_family,direction,state_unit,target_state,full_predicted_state,pairwise_predicted_state,full_state_abs_error,pairwise_state_abs_error,delta_state_error_pairwise_minus_full,full_y_mae,pairwise_y_mae,delta_y_error_pairwise_minus_full,mean_abs_manybody_delta_log_gamma,selection_rule,alpha_12_full,alpha_12_pairwise,delta_log_alpha_12_full_minus_pairwise,alpha_13_full,alpha_13_pairwise,delta_log_alpha_13_full_minus_pairwise,alpha_23_full,alpha_23_pairwise,delta_log_alpha_23_full_minus_pairwise,x_1,y_true_1,y_full_1,y_pairwise_1,delta_y_1_full_minus_pairwise,gamma_full_1,gamma_pairwise_1,delta_log_gamma_1_full_minus_pairwise,smiles_1,x_2,y_true_2,y_full_2,y_pairwise_2,delta_y_2_full_minus_pairwise,gamma_full_2,gamma_pairwise_2,delta_log_gamma_2_full_minus_pairwise,smiles_2,x_3,y_true_3,y_full_3,y_pairwise_3,delta_y_3_full_minus_pairwise,gamma_full_3,gamma_pairwise_3,delta_log_gamma_3_full_minus_pairwise,smiles_3,temperature_k,name_1,name_2,name_3,manybody_y_l1,third_component_fraction,ab_edge_ratio_x1_over_x1_plus_x2,ternary_x3_zero_minus_binary_log_gamma_1_full,ternary_x3_zero_minus_binary_log_gamma_2_full,ternary_x3_zero_minus_binary_log_alpha_12_full,ternary_x3_zero_minus_binary_log_gamma_1_pairwise,ternary_x3_zero_minus_binary_log_gamma_2_pairwise,ternary_x3_zero_minus_binary_log_alpha_12_pairwise,delta_log_alpha_12_from_true_binary_full,delta_log_alpha_12_from_true_binary_pairwise,delta_log_gamma_1_from_true_binary_full,delta_log_gamma_1_from_true_binary_pairwise,delta_log_gamma_2_from_true_binary_full,delta_log_gamma_2_from_true_binary_pairwise,delta_log_gamma_3_from_true_binary_full,delta_log_gamma_3_from_true_binary_pairwise
experimental_test,2,state_e917a8c6d6fcbd108c92db81,3c_6b60b4a3a536506a27ae,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isobaric,K,341.67999999999995,339.709228515625,342.2290344238281,1.97077148437495,0.549034423828175,-1.421737060546775,0.005541625022888121,0.01873688638210294,0.013195261359214821,0.15335654231749882,held-out ternary with all three experimental binary subsystems,0.6959925693358441,0.5949112618833088,0.15692672930454277,1.2556396475202032,1.0635872003413305,0.1659977760045751,1.8040992143327137,1.7878081463348594,0.009071046700032337,0.1439999999999999,0.1599999999999999,0.1516875922679901,0.1318946629762649,0.019792929291725214,2.2849321365356445,1.702312469482422,0.29434872146754576,CC(C)CC(C)(C)C,0.193,0.291,0.292105883359909,0.2971459925174713,-0.005040109157562311,1.783815860748291,1.5454648733139038,0.14343005779318363,CC(C)OC(C)C,0.663,0.549,0.5562065839767456,0.5709593296051025,-0.014752745628356934,1.10070538520813,1.0764411687850952,0.022290847691767104,CCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,2,state_eacfaf0d5c6118c637f09025,3c_6b60b4a3a536506a27ae,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isobaric,K,345.29,345.2256774902344,352.1348876953125,0.06432250976564546,6.8448876953124795,6.780565185546834,0.028525913079579635,0.09532359174887335,0.06679767866929372,0.15036152070541955,held-out ternary with all three experimental binary subsystems,0.4145267996273859,0.3637679309907678,0.1306215157079078,0.3387889794915112,0.49636889232769976,-0.3819419506394537,0.8172908960193774,1.3645207563398358,-0.5125634663473617,0.661,0.382,0.4044994115829468,0.4784956276416778,-0.07399621605873102,1.1493574380874634,1.0837440490722656,0.058781278681909535,CC(C)CC(C)(C)C,0.051,0.055,0.0752894282341003,0.1014897674322128,-0.0262003391981125,1.5277326107025146,1.630272388458252,-0.06496242790549517,CC(C)OC(C)C,0.288,0.563,0.5202111005783081,0.4200146198272705,0.1001964807510376,2.0520966053009038,1.479229211807251,0.32734085552885395,CCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,2,state_ec6e6e85bb6b5aa71130f90b,3c_20e37ef734cab2512529,alcohol/polyol + alcohol/polyol + alcohol/polyol,isobaric,K,381.3,381.0456237792969,387.40570068359375,0.25437622070313637,6.105700683593739,5.851324462890602,0.11635478225946426,0.09750909991661706,-0.018845682342847198,0.17268986891421104,held-out ternary with all three experimental binary subsystems,6.079799635266368,4.728200246584172,0.2514271081637647,2.942072871505127,3.5698205640188463,-0.19340094109995953,0.4839095114976152,0.7550062133256343,-0.44482804926372427,0.2184,0.4341,0.4891309738159179,0.516735851764679,-0.027604877948761042,1.3124244213104248,1.2635726928710938,0.037932950929880666,CC(C)O,0.2140999999999999,0.2534,0.0788678303360939,0.1071363314986229,-0.02826850116252899,1.173327922821045,1.738566756248474,-0.393216980791789,CCCCCO,0.5675,0.3125,0.4320012032985687,0.3761277794837951,0.055873423814773615,1.0415358543395996,1.1361167430877686,-0.08691967502096347,CCCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,2,state_f070212f5050a4a58a30530f,3c_6b60b4a3a536506a27ae,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isobaric,K,343.41,341.9551696777344,345.9559020996094,1.45483032226565,2.54590209960935,1.0910717773437,0.016869705319404585,0.03418847560882567,0.01731877028942109,0.11068529961484197,held-out ternary with all three experimental binary subsystems,0.5816771722212746,0.468058553483086,0.2173222045591119,0.8236961482188179,0.8031065667811086,0.025314293789739734,1.4160709540540082,1.715824998399757,-0.19200791076937218,0.348,0.298,0.2927933931350708,0.2792252600193023,0.013568133115768488,1.720115303993225,1.372705578804016,0.22560765840645425,CC(C)CC(C)(C)C,0.097,0.115,0.1403045505285263,0.1662826836109161,-0.025978133082389804,1.6160283088684082,1.5919395685195925,0.015018350580487172,CC(C)OC(C)C,0.555,0.587,0.5669020414352417,0.5544919967651367,0.01241004467010498,1.263156175613403,1.1527882814407349,0.09142988985758446,CCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,2,state_f295d2ed034f9d81b6f5278b,3c_6b60b4a3a536506a27ae,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isobaric,K,355.27,353.0145874023437,353.8504638671875,2.2554125976562887,1.4195361328124818,-0.8358764648438068,0.03712975108623506,0.08468037221829099,0.04755062113205592,0.1842133044742794,held-out ternary with all three experimental binary subsystems,0.3912342255239997,0.3789899676927651,0.031796688627603986,0.1918613791955001,0.3702948924276138,-0.657526566842804,0.49040029393780793,0.9770572415990703,-0.689323255470408,0.76,0.49,0.5081494450569153,0.5443688631057739,-0.03621941804885864,1.0325794219970703,1.0341883897781372,-0.0015569897082202688,CC(C)CC(C)(C)C,0.194,0.294,0.3315452039241791,0.366651713848114,-0.035106509923934937,1.4820760488510132,1.4965181350708008,-0.009697325988974714,CC(C)OC(C)C,0.046,0.216,0.1603053957223892,0.088979460299015,0.07132593542337419,3.255516290664673,1.894519567489624,0.5413855977256431,CCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,2,state_f56e0df1d78d3bb775d02396,3c_6b60b4a3a536506a27ae,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isobaric,K,343.83,342.8746337890625,347.3924255371094,0.9553662109374841,3.562425537109391,2.607059326171907,0.009187216937541954,0.038105207562446584,0.028917990624904633,0.1527824945680092,held-out ternary with all three experimental binary subsystems,0.655697389850197,0.4935360265654501,0.28410352818633533,1.2378138407692898,0.9933232732917554,0.22004590777063004,1.8877821689241212,2.0126661881288745,-0.06405762041570517,0.248,0.292,0.2782191932201385,0.2348421812057495,0.04337701201438898,2.2391467094421387,1.5698895454406738,0.35508959634586235,CC(C)CC(C)(C)C,0.05,0.075,0.0855464413762092,0.0959346741437912,-0.010388232767581995,1.8705251216888428,1.7299219369888306,0.07814292081928154,CC(C)OC(C)C,0.702,0.633,0.6362344026565552,0.6692231297492981,-0.03298872709274292,1.0941957235336304,1.0670572519302368,0.025114966538883704,CCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,3,state_02bcd9969cb087ae2de88099,3c_c07bedcaeb0f8ef073f8,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isothermal,kPa,35.989973274496,38.11384582519531,38.31250762939453,2.1238725506993106,2.3225343548985293,0.19866180419921875,0.01139478455086553,0.015974154771367734,0.004579370220502204,0.0987705893774526,held-out ternary with all three experimental binary subsystems,0.24747075264073237,0.2836081662957954,-0.13630118548513792,0.23336977024466252,0.2282212504264779,0.0223086373438961,0.9430196003139771,0.804706202248244,0.15860982282903424,0.5546,0.2307,0.2255425304174423,0.2225971519947052,0.002945378422737094,1.0651414394378662,0.9912528395652772,0.07189323873361927,CC(C)C(=O)C(C)C,0.0172,0.0402,0.0282652731984853,0.0243416186422109,0.0039236545562744,1.5161923170089722,1.4565699100494385,0.04011784243345673,CC(C)CC(C)(C)C,0.4282,0.7291,0.7461921572685242,0.7530612349510193,-0.006869077682495117,1.116912007331848,0.9289197325706482,0.18430068696528185,CC(C)O,,,,,,,,,,,,,,,,,,,,,
experimental_test,3,state_0d9a66234ece045df49674ef,3c_c07bedcaeb0f8ef073f8,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isothermal,kPa,34.049999497727995,29.54296493530273,45.17280578613281,4.507034562425265,11.122806288404817,6.6157717259795525,0.0363952457586925,0.08850273552735642,0.052107489768663924,0.24231972697924667,held-out ternary with all three experimental binary subsystems,0.35376047136295025,0.3094371458399453,0.13386506095292128,0.5482137988837449,0.23757763898922343,0.8361708837486339,1.5496751142704408,0.7677734951449855,0.7023058227957126,0.2569,0.0962999999999999,0.1508928537368774,0.0779229924082756,0.07296986132860181,1.7005161046981812,1.161793231964111,0.3809670949015197,CC(C)C(=O)C(C)C,0.0899,0.2025,0.1492639482021331,0.0881228968501091,0.061141051352023995,1.624869465827942,1.5299370288848877,0.06020090686813928,CC(C)CC(C)(C)C,0.6532,0.7012,0.699843168258667,0.8339540958404541,-0.1341109275817871,0.7549863457679749,1.0047467947006226,-0.2857911791680811,CC(C)O,,,,,,,,,,,,,,,,,,,,,
experimental_test,3,state_0f2a4001d090e391e3afbb69,3c_c07bedcaeb0f8ef073f8,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isothermal,kPa,61.160036451584,60.66779327392578,69.76841735839844,0.49224317765821723,8.608380906814439,8.116137729156222,0.009229313809672972,0.08364341269532838,0.07441409888565541,0.13584617587465497,held-out ternary with all three experimental binary subsystems,0.2815010762482877,0.43739625071762833,-0.44070326562383544,0.44951780528147534,0.3525533233667488,0.2429735816576144,1.5968599881479484,0.8060273099925315,0.6836768472814501,0.0736999999999999,0.0235,0.0301081668585538,0.0286636240780353,0.0014445427805185006,1.7031422853469849,1.7491488456726074,-0.02665434770337438,CC(C)C(=O)C(C)C,0.2361,0.3354,0.3426358103752136,0.2099348604679107,0.1327009499073029,2.131286144256592,1.666546106338501,0.24597233613516067,CC(C)CC(C)(C)C,0.6902,0.6411,0.6272560358047485,0.7614014744758606,-0.13414543867111206,0.9271720051765442,1.0610889196395874,-0.1349118437854299,CC(C)O,,,,,,,,,,,,,,,,,,,,,
experimental_test,3,state_0f9797c22b7fdc534b1ad62f,3c_c07bedcaeb0f8ef073f8,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isothermal,kPa,33.930009366528,30.682933807373047,36.31038665771485,3.2470755591549505,2.3803772911868535,-0.866698267968097,0.03852634933789571,0.07479397015968958,0.03626762082179387,0.07160329932687964,held-out ternary with all three experimental binary subsystems,0.2884130603183137,0.33363001542188825,-0.14563895090689827,0.28829565504059235,0.2272390972380201,0.23798377860885012,0.9995929266254732,0.6811110713485037,0.3836227295157481,0.3565,0.1166,0.1377326995134353,0.120719663798809,0.017013035714626312,1.161706805229187,1.0425565242767334,0.10821441436133886,CC(C)C(=O)C(C)C,0.1676,0.2823,0.2245104759931564,0.1701090484857559,0.05440142750740051,1.3615344762802124,1.273361325263977,0.06695223818777796,CC(C)CC(C)(C)C,0.4759,0.6011,0.6377568244934082,0.7091712951660156,-0.07141447067260742,0.9807690382003784,0.9426487684249878,0.039643245431522124,CC(C)O,,,,,,,,,,,,,,,,,,,,,
experimental_test,3,state_124ec3985c7385a0e7091f78,3c_c07bedcaeb0f8ef073f8,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isothermal,kPa,21.799940358784,22.077693939208984,18.924854278564453,0.2777535804249851,2.875086080219546,2.597332499794561,0.014291086864471442,0.0492564700762431,0.03496538321177166,0.33149414196373894,held-out ternary with all three experimental binary subsystems,0.2947395913409632,0.4323081111244091,-0.38304632894156865,0.23708992964164957,0.3030365582597299,-0.24541393342679707,0.8044047579864394,0.7009735659864185,0.13763239551477158,0.6346,0.2752,0.2942079305648803,0.3490847051143646,-0.05487677454948431,1.0030676126480105,0.8826963901519775,0.12783689364142553,CC(C)C(=O)C(C)C,0.0228,0.0573,0.0358633399009704,0.0290116369724273,0.006851702928543098,1.1503732204437256,0.8320226073265076,0.3239820955025352,CC(C)CC(C)(C)C,0.3426,0.6675,0.6699286699295044,0.621903657913208,0.04802501201629639,1.0297348499298096,0.5984800457954407,0.542663436747256,CC(C)O,,,,,,,,,,,,,,,,,,,,,
experimental_test,3,state_131749862d357a816ee9bf2d,3c_c07bedcaeb0f8ef073f8,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isothermal,kPa,52.429954472576,48.10778045654297,60.26848602294922,4.322174016033031,7.838531550373219,3.5163575343401874,0.022316847344239554,0.059951544602711994,0.03763469725847244,0.12551324400240896,held-out ternary with all three experimental binary subsystems,0.2840144419778583,0.3095929846923653,-0.0862333932934638,0.4241813269120056,0.2749814755443247,0.43345728788308113,1.4935202729763817,0.8882031865727412,0.5196906811765448,0.258,0.0925,0.1218858733773231,0.0884134992957115,0.03347237408161159,1.561798334121704,1.3313536643981934,0.15964171819154138,CC(C)C(=O)C(C)C,0.0941,0.19,0.1565247178077697,0.1041591539978981,0.05236556380987159,1.9371150732040403,1.792123556137085,0.07779852969970458,CC(C)CC(C)(C)C,0.6479,0.7175,0.7215893864631653,0.8074272871017456,-0.08583790063858032,0.9010101556777954,1.035475492477417,-0.13909948411598094,CC(C)O,,,,,,,,,,,,,,,,,,,,,
experimental_test,3,state_14b96d4e526197d3c8c90f9d,3c_c07bedcaeb0f8ef073f8,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,isothermal,kPa,23.229956077952,24.35937118530273,25.92709350585937,1.1294151073507308,2.6971374279073714,1.5677223205566406,0.011066177108883857,0.019513197124004338,0.00844702001512048,0.170674546821055,held-out ternary with all three experimental binary subsystems,0.2793285147368533,0.3356511635885113,-0.18368385573112378,0.25676844210772676,0.23439880920321343,0.09115069777684837,0.9192346236101973,0.6983405232301612,0.2748345535079721,0.558,0.2373999999999999,0.2453502416610717,0.2303095161914825,0.015040725469589206,1.049641251564026,0.907364010810852,0.14566001502945383,CC(C)C(=O)C(C)C,0.0162,0.0421,0.0255006942898035,0.0199206992983818,0.005579994991421703,1.270201563835144,1.1015660762786863,0.14244272655420404,CC(C)CC(C)(C)C,0.4258,0.7205,0.7291489839553833,0.7497698068618774,-0.02062082290649414,0.9949634075164796,0.7953522205352783,0.22392089887950717,CC(C)O,,,,,,,,,,,,,,,,,,,,,
