variant_id,variant,source_variant_id,independent_run,setting_id,evaluation_setting,protocol,component_count,direction,state,state_metric,state_unit,source_summary,pressure_mae_kpa_mean,pressure_mae_kpa_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_seed_ids,pressure_rmse_kpa_mean,pressure_rmse_kpa_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_seed_ids,pressure_r2_mean,pressure_r2_std,pressure_r2_available_seeds,pressure_r2_seed_ids,y_mae_mean,y_mae_std,y_mae_available_seeds,y_mae_seed_ids,y_rmse_mean,y_rmse_std,y_rmse_available_seeds,y_rmse_seed_ids,y_r2_mean,y_r2_std,y_r2_available_seeds,y_r2_seed_ids,valid_coverage_mean,valid_coverage_std,valid_coverage_available_seeds,valid_coverage_seed_ids,temperature_mae_k_mean,temperature_mae_k_std,temperature_mae_k_available_seeds,temperature_mae_k_seed_ids,temperature_rmse_k_mean,temperature_rmse_k_std,temperature_rmse_k_available_seeds,temperature_rmse_k_seed_ids,temperature_r2_mean,temperature_r2_std,temperature_r2_available_seeds,temperature_r2_seed_ids
v4_rdkit_unimol_naive,V4 RDKit + Uni-Mol naive fusion,v4_rdkit_unimol_naive,True,joint_train_binary_test,Binary+ternary train → binary test,overall_binary_ternary,2.0,isothermal,P,pressure,kPa,results/multiview/predictive/runs/v4_rdkit_unimol_naive.on.overall_binary_ternary/metrics_summary.csv,10.451944450917685,5.974225256833443,5.0,0;1;2;3;4,23.540124782430414,14.457812055591807,5.0,0;1;2;3;4,0.955293559658547,0.0403290129182032,5.0,0;1;2;3;4,0.0293800444397344,0.0040579735903094,5,0;1;2;3;4,0.0517048609632564,0.0102029151673178,5,0;1;2;3;4,0.9743378105592316,0.0092648605617051,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,,,,,,,,,,,,
v4_rdkit_unimol_naive,V4 RDKit + Uni-Mol naive fusion,v4_rdkit_unimol_naive,True,joint_train_binary_test,Binary+ternary train → binary test,overall_binary_ternary,2.0,isobaric,T,temperature,K,results/multiview/predictive/runs/v4_rdkit_unimol_naive.on.overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.030200823062698,0.0042457809410609,5,0;1;2;3;4,0.0516398123629878,0.0084584405559637,5,0;1;2;3;4,0.9723881352994524,0.008523340123049,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,2.6615867086086205,0.4308428361493241,5.0,0;1;2;3;4,4.280874747823488,1.1366392919795452,5.0,0;1;2;3;4,0.977285525657219,0.0164864178842912,5.0,0;1;2;3;4
v4_rdkit_unimol_naive,V4 RDKit + Uni-Mol naive fusion,v4_rdkit_unimol_naive,True,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isothermal,P,pressure,kPa,results/multiview/predictive/runs/v4_rdkit_unimol_naive.on.overall_binary_ternary/metrics_summary.csv,1.458947710382173,0.6041141607412287,4.0,0;2;3;4,2.1138869641925258,0.7700667962726077,4.0,0;2;3;4,0.985020553714134,0.0095964492471477,4.0,0;2;3;4,0.0165954749289129,0.0045306146676299,4,0;2;3;4,0.024419650294601,0.0057033701266146,4,0;2;3;4,0.9896487767697216,0.0067219019267018,4,0;2;3;4,1.0,0.0,4,0;2;3;4,,,,,,,,,,,,
v4_rdkit_unimol_naive,V4 RDKit + Uni-Mol naive fusion,v4_rdkit_unimol_naive,True,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isobaric,T,temperature,K,results/multiview/predictive/runs/v4_rdkit_unimol_naive.on.overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.0312795380947262,0.0193849546325028,4,0;1;2;4,0.0515582626152341,0.0395330493340811,4,0;1;2;4,0.9210843549580738,0.0823236094831644,4,0;1;2;4,1.0,0.0,4,0;1;2;4,1.4720494156491246,0.6903941218303953,4.0,0;1;2;4,1.9974519688296968,1.1673385511150791,4.0,0;1;2;4,0.9762873601500944,0.0371038570441302,4.0,0;1;2;4
v5_three_view_naive,V5 Three-view naive fusion,v5_three_view_naive,True,binary_train_binary_test,Binary train → binary test,overall_binary,,isothermal,P,pressure,kPa,results/multiview/predictive/runs/v5_three_view_naive.on.overall_binary/metrics_summary.csv,9.62293671307408,5.086213981734453,5.0,0;1;2;3;4,20.971402959569183,10.607591900892096,5.0,0;1;2;3;4,0.96763774016406,0.021912974423104,5.0,0;1;2;3;4,0.0283223582447752,0.0046989648928025,5,0;1;2;3;4,0.0487000282625033,0.010770830894414,5,0;1;2;3;4,0.9770744049306286,0.0097857921180236,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,,,,,,,,,,,,
v5_three_view_naive,V5 Three-view naive fusion,v5_three_view_naive,True,binary_train_binary_test,Binary train → binary test,overall_binary,,isobaric,T,temperature,K,results/multiview/predictive/runs/v5_three_view_naive.on.overall_binary/metrics_summary.csv,,,,,,,,,,,,,0.0294433079459561,0.0053868081537421,5,0;1;2;3;4,0.0510380740984092,0.0079058789940649,5,0;1;2;3;4,0.9731895412533624,0.0076212860395462,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,2.749081529451184,0.5189081116964056,5.0,0;1;2;3;4,4.539627451434568,0.4998623123640501,5.0,0;1;2;3;4,0.9766581111848608,0.0055930306263953,5.0,0;1;2;3;4
v5_three_view_naive,V5 Three-view naive fusion,v5_three_view_naive,True,joint_train_binary_test,Binary+ternary train → binary test,overall_binary_ternary,2.0,isothermal,P,pressure,kPa,results/multiview/formal/runs/v5_three_view_naive.on.overall_binary_ternary/metrics_summary.csv,9.034252980965448,4.318058265484817,5.0,0;1;2;3;4,20.408035991270108,9.387722910832055,5.0,0;1;2;3;4,0.9687001200063536,0.0210463405852439,5.0,0;1;2;3;4,0.0274425107366221,0.0045883809797168,5,0;1;2;3;4,0.0482400254203437,0.0092912856899099,5,0;1;2;3;4,0.977686493136488,0.0078683396845168,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,,,,,,,,,,,,
v5_three_view_naive,V5 Three-view naive fusion,v5_three_view_naive,True,joint_train_binary_test,Binary+ternary train → binary test,overall_binary_ternary,2.0,isobaric,T,temperature,K,results/multiview/formal/runs/v5_three_view_naive.on.overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.0300398924504973,0.0044687418377775,5,0;1;2;3;4,0.0523258036628049,0.0069699344956642,5,0;1;2;3;4,0.9719085550013976,0.0068870163801833,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,2.574572765699215,0.3312370452988017,5.0,0;1;2;3;4,4.245111668699424,0.8648314777748314,5.0,0;1;2;3;4,0.9785393391719388,0.0118731689600972,5.0,0;1;2;3;4
v5_three_view_naive,V5 Three-view naive fusion,v5_three_view_naive,True,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isothermal,P,pressure,kPa,results/multiview/formal/runs/v5_three_view_naive.on.overall_binary_ternary/metrics_summary.csv,2.8491776097777635,1.0130691681048565,4.0,0;2;3;4,3.3963408025910558,1.0961559277321422,4.0,0;2;3;4,0.9662794833341692,0.0180075893122218,4.0,0;2;3;4,0.0196499915595719,0.0043116234459403,4,0;2;3;4,0.0267020128570312,0.0065540989399175,4,0;2;3;4,0.9883670660770426,0.0053295623529396,4,0;2;3;4,1.0,0.0,4,0;2;3;4,,,,,,,,,,,,
v5_three_view_naive,V5 Three-view naive fusion,v5_three_view_naive,True,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isobaric,T,temperature,K,results/multiview/formal/runs/v5_three_view_naive.on.overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.0332047161929771,0.0189285768526657,4,0;1;2;4,0.0534069562161313,0.0370503504862128,4,0;1;2;4,0.9188906683822152,0.0785969945476431,4,0;1;2;4,1.0,0.0,4,0;1;2;4,1.685872214189818,0.4630357033862415,4.0,0;1;2;4,2.211171296619096,0.7944757259330547,4.0,0;1;2;4,0.9750326765137904,0.0303649038148115,4.0,0;1;2;4
