dataset,system_family_class,unique_systems,total_data_points,mean_points_per_system,median_points_per_system,min_points_per_system,max_points_per_system,all_systems,all_data_points,system_share_pct,data_point_share_pct,class_rank
Ternary,acid + other + sulfur-containing,2,10,5.0,5.0,4,6,986,13861,0.2028397565922921,0.07214486689272058,84
Ternary,ester + ether + hydrocarbon,2,10,5.0,5.0,5,5,986,13861,0.2028397565922921,0.07214486689272058,85
Ternary,ether + ketone + water,2,10,5.0,5.0,5,5,986,13861,0.2028397565922921,0.07214486689272058,86
Ternary,amine + ether + water,2,10,5.0,5.0,5,5,986,13861,0.2028397565922921,0.07214486689272058,87
Ternary,amide + aromatic + water,1,55,55.0,55.0,55,55,986,13861,0.10141987829614604,0.3967967679099632,88
Ternary,alcohol + alcohol + ketone,1,40,40.0,40.0,40,40,986,13861,0.10141987829614604,0.2885794675708823,89
Ternary,acid + amine + water,1,38,38.0,38.0,38,38,986,13861,0.10141987829614604,0.2741504941923382,90
Ternary,ketone + other + water,1,36,36.0,36.0,36,36,986,13861,0.10141987829614604,0.25972152081379407,91
Ternary,ether + sulfur-containing + water,1,28,28.0,28.0,28,28,986,13861,0.10141987829614604,0.20200562729961763,92
Ternary,acid + alcohol + aromatic,1,24,24.0,24.0,24,24,986,13861,0.10141987829614604,0.1731476805425294,93
Ternary,alcohol + halogenated + sulfur-containing,1,23,23.0,23.0,23,23,986,13861,0.10141987829614604,0.16593319385325733,94
Ternary,alcohol + amide + hydrocarbon,1,20,20.0,20.0,20,20,986,13861,0.10141987829614604,0.14428973378544116,95
Ternary,ether + ether + halogenated,1,18,18.0,18.0,18,18,986,13861,0.10141987829614604,0.12986076040689704,96
Ternary,amine + ether + ether,1,18,18.0,18.0,18,18,986,13861,0.10141987829614604,0.12986076040689704,97
Ternary,amine + ether + hydrocarbon,1,18,18.0,18.0,18,18,986,13861,0.10141987829614604,0.12986076040689704,98
Ternary,ether + ether + water,1,12,12.0,12.0,12,12,986,13861,0.10141987829614604,0.0865738402712647,99
Ternary,aromatic + sulfur-containing + sulfur-containing,1,12,12.0,12.0,12,12,986,13861,0.10141987829614604,0.0865738402712647,100
Ternary,amine + aromatic + water,1,12,12.0,12.0,12,12,986,13861,0.10141987829614604,0.0865738402712647,101
Ternary,halogenated + hydrocarbon + hydrocarbon,1,10,10.0,10.0,10,10,986,13861,0.10141987829614604,0.07214486689272058,102
Ternary,aromatic + other + water,1,10,10.0,10.0,10,10,986,13861,0.10141987829614604,0.07214486689272058,103
Ternary,alcohol + amine + ester,1,10,10.0,10.0,10,10,986,13861,0.10141987829614604,0.07214486689272058,104
Ternary,alcohol + ester + ether,1,10,10.0,10.0,10,10,986,13861,0.10141987829614604,0.07214486689272058,105
Ternary,ester + ether + water,1,10,10.0,10.0,10,10,986,13861,0.10141987829614604,0.07214486689272058,106
Ternary,ester + sulfur-containing + water,1,9,9.0,9.0,9,9,986,13861,0.10141987829614604,0.06493038020344852,107
Ternary,aromatic + aromatic + aromatic,1,9,9.0,9.0,9,9,986,13861,0.10141987829614604,0.06493038020344852,108
Ternary,aromatic + aromatic + halogenated,1,8,8.0,8.0,8,8,986,13861,0.10141987829614604,0.05771589351417647,109
Ternary,amine + amine + water,1,7,7.0,7.0,7,7,986,13861,0.10141987829614604,0.05050140682490441,110
Ternary,acid + hydrocarbon + sulfur-containing,1,5,5.0,5.0,5,5,986,13861,0.10141987829614604,0.03607243344636029,111
Ternary,acid + halogenated + hydrocarbon,1,5,5.0,5.0,5,5,986,13861,0.10141987829614604,0.03607243344636029,112
Ternary,ester + halogenated + water,1,5,5.0,5.0,5,5,986,13861,0.10141987829614604,0.03607243344636029,113
Ternary,acid + acid + water,1,4,4.0,4.0,4,4,986,13861,0.10141987829614604,0.028857946757088235,114
Ternary,ester + hydrocarbon + water,1,4,4.0,4.0,4,4,986,13861,0.10141987829614604,0.028857946757088235,115
Ternary,acid + ether + hydrocarbon,1,4,4.0,4.0,4,4,986,13861,0.10141987829614604,0.028857946757088235,116
